method,dataset,adapter,n,variant_id,reporting_mode,psnr_mean,psnr_std,ssim_mean,ssim_std,lee_mean,lee_std,nai_mean,nai_std,identity_drop_mean,identity_drop_std,E_MAE_mean,E_MAE_std,S_MAE_mean,S_MAE_std,Gauge_MAE_mean,Gauge_MAE_std,S_corr_mean,S_corr_std,mu_pred_proxy_mean,mu_pred_proxy_std,mu_gt_proxy_mean,mu_gt_proxy_std,pred_proxy_std_mean,pred_proxy_std_std,gt_proxy_std_mean,gt_proxy_std_std
KinD++,real,log_ratio_lowpass_r8,100,KinD++__log_ratio_lowpass_r8,field_aware_adapter,22.210949687957765,3.3663716006492375,0.8410520964860916,0.06132535437497077,0.1481490283086896,0.11996526717976765,4.61040726184845,1.499271836275272,12.492734813690186,4.041915011792854,0.15193555404074244,0.12447316217824057,0.08326701990543318,0.03110092541163618,0.11612877290444823,0.13755129243535671,0.944458656803283,0.0561401399844742,2.220510033885084,0.5365205399100764,2.1631808113347564,0.5595217867625895,0.32339720804431893,0.1343625719392668,0.2993787214685974,0.10687510433724216
KinD++,real,log_ratio_raw,100,KinD++__log_ratio_raw,field_aware_adapter,22.210949687957765,3.3663716006492375,0.8410520964860916,0.06132535437497077,0.1481490283086896,0.11996526717976765,4.61040726184845,1.499271836275272,12.492734813690186,4.041915011792854,0.18603941620237344,0.11784561161248168,0.12299897078146196,0.04118136501228757,0.11632424055084703,0.13756694846671305,0.8921232413035907,0.0986015933083092,2.220219954796303,0.5361640527086229,2.1631589745150133,0.5595132672666119,0.40694437768558805,0.15863359478995004,0.4137495287007691,0.14024587446266534
KinD++,synthetic,log_ratio_lowpass_r8,100,KinD++__log_ratio_lowpass_r8,field_aware_adapter,19.259352045059202,3.197593297118178,0.8047349369525909,0.08384172881288604,0.21477956391870975,0.10951672230180033,2.586823433637619,0.8487283213919415,8.038424649238586,3.9487764516447412,0.24576630862323387,0.12474311970871817,0.1683271831540541,0.10008964425921398,0.1943513386071269,0.13536759065629983,0.9228137618984354,0.12454609008780877,1.378256653249739,0.5726118560567562,1.5342961701450366,0.6620873212309298,0.5796215844172053,0.282490550284873,0.6348776999807154,0.3272195866495652
KinD++,synthetic,log_ratio_raw,100,KinD++__log_ratio_raw,field_aware_adapter,19.259352045059202,3.197593297118178,0.8047349369525909,0.08384172881288604,0.21477956391870975,0.10951672230180033,2.586823433637619,0.8487283213919415,8.038424649238586,3.9487764516447412,0.28205858847308923,0.12914634693232585,0.23775844645834937,0.11648011012558969,0.19574534145001687,0.1363134720782835,0.8674141256006601,0.13987637159543947,1.3754841754466796,0.5702639381820537,1.5342147992325457,0.662087824597669,0.6436410697879595,0.3022802755205236,0.7179562647289977,0.338287260773239
Retinexformer,real,log_ratio_lowpass_r8,100,Retinexformer__log_ratio_lowpass_r8,field_aware_adapter,22.79388285636902,3.7262549085202763,0.8420706051588058,0.04738767793134447,0.1864641983062029,0.11889652235698138,3.2153385400772097,0.9109312965663199,13.075667996406555,4.345805040565686,0.19036344972064548,0.1214190493991421,0.05909639614417105,0.03776060971724312,0.18274914561215777,0.1285381896769636,0.9547072116428471,0.08906275557117388,2.169571308352429,0.5186491783939778,2.1631808113347564,0.5595217867625895,0.2721782684590876,0.09153379716566572,0.2993787214685974,0.10687510433724216
Retinexformer,real,log_ratio_raw,100,Retinexformer__log_ratio_raw,field_aware_adapter,22.79388285636902,3.7262549085202763,0.8420706051588058,0.04738767793134447,0.1864641983062029,0.11889652235698138,3.2153385400772097,0.9109312965663199,13.075667996406555,4.345805040565686,0.2009097925557065,0.11539585584168714,0.08993625141186139,0.04243080674904665,0.1828249544188322,0.1285471434381808,0.9381848661395599,0.08536957115974333,2.1694097849730354,0.5187306622436327,2.1631589745150133,0.5595132672666119,0.3925027915228199,0.11288659403214886,0.4137495287007691,0.14024587446266534
Retinexformer,synthetic,log_ratio_lowpass_r8,100,Retinexformer__log_ratio_lowpass_r8,field_aware_adapter,25.668988761901854,4.968187223045217,0.9285000318288803,0.04543674465893297,0.1250442335009575,0.10184883535836049,2.1598500871658324,0.8825644345559148,14.448061246871948,6.924191565790995,0.13623134770201803,0.10883842314333352,0.06566160523502142,0.042862854698937115,0.1265167847939803,0.11403896008530245,0.9893435081489922,0.01819153050834107,1.5582520248924132,0.6620129697860268,1.5342961701450366,0.6620873212309298,0.6554083657510383,0.3188870139114999,0.6348776999807154,0.3272195866495652
Retinexformer,synthetic,log_ratio_raw,100,Retinexformer__log_ratio_raw,field_aware_adapter,25.668988761901854,4.968187223045217,0.9285000318288803,0.04543674465893297,0.1250442335009575,0.10184883535836049,2.1598500871658324,0.8825644345559148,14.448061246871948,6.924191565790995,0.14612435163910079,0.1056255039519814,0.08781986495521778,0.049709614959894705,0.12652251313090512,0.11396638752571352,0.9814133594836362,0.02250129651142008,1.5582386031815374,0.6619480503917397,1.5342147992325457,0.662087824597669,0.7410438388489539,0.3274960539791612,0.7179562647289977,0.338287260773239
Zero-DCE++,real,log_ratio_lowpass_r8,100,Zero-DCE++__log_ratio_lowpass_r8,field_aware_adapter,18.490733785629274,4.602308260035591,0.5930840206146241,0.16089359184869464,0.4450335358455777,0.34254019805888675,4.98403945684433,0.9566709334215313,8.777532343864442,3.3841857626716685,0.4965234562177612,0.38324950600396124,0.17439328719455927,0.10862609866688387,0.48590735179314437,0.394148751002654,0.6590072296792303,0.35985787118753465,1.7076230146817752,0.1669315661358287,2.163009158293479,0.5594128878212272,0.17024999134853108,0.07341125431970394,0.2990781740139219,0.10705366496247262
Zero-DCE++,real,log_ratio_raw,100,Zero-DCE++__log_ratio_raw,field_aware_adapter,18.490733785629274,4.602308260035591,0.5930840206146241,0.16089359184869464,0.4450335358455777,0.34254019805888675,4.98403945684433,0.9566709334215313,8.777532343864442,3.3841857626716685,0.5100239784669356,0.3709348092928015,0.2518517579455188,0.1482471220073894,0.4858929815837755,0.3941623252209254,0.3983472023696863,0.4200811621668367,1.7076409556266654,0.16694546545490543,2.1630112338926897,0.5594265308000844,0.2292121184249929,0.09007818979042412,0.4136619618444849,0.1407170871284299
