method,role,source_variant_ids,uefb_psnr,uefb_psnr_std_across_rows,uefb_n_rows,uefb_ssim,uefb_ssim_std_across_rows,uefb_S_corr,uefb_S_corr_std_across_rows,uefb_Gauge_MAE,uefb_Gauge_MAE_std_across_rows,uefb_identity_drop,uefb_identity_drop_std_across_rows,uefb_q_ece,uefb_q_ece_std_across_rows,uefb_over,uefb_over_std_across_rows,uefb_under,uefb_under_std_across_rows,real_psnr,real_psnr_std_across_rows,real_n_rows,real_ssim,real_ssim_std_across_rows,real_S_corr,real_S_corr_std_across_rows,real_Gauge_MAE,real_Gauge_MAE_std_across_rows,real_identity_drop,real_identity_drop_std_across_rows,real_q_ece,real_q_ece_std_across_rows,real_over,real_over_std_across_rows,real_under,real_under_std_across_rows,synthetic_psnr,synthetic_psnr_std_across_rows,synthetic_n_rows,synthetic_ssim,synthetic_ssim_std_across_rows,synthetic_S_corr,synthetic_S_corr_std_across_rows,synthetic_Gauge_MAE,synthetic_Gauge_MAE_std_across_rows,synthetic_identity_drop,synthetic_identity_drop_std_across_rows,synthetic_q_ece,synthetic_q_ece_std_across_rows,synthetic_over,synthetic_over_std_across_rows,synthetic_under,synthetic_under_std_across_rows
M4 A-gate,PSNR-high counterexample,M4,18.79995822906494,0.0,1,0.8263602461665869,0.0,-0.15751841658129706,0.0,0.14293473586440086,0.0,5.038297355175018,0.0,0.4064189859200269,0.0,0.0,0.0,1.3748804732927056e-05,0.0,17.593248590826988,0.0,1,0.7343578478321433,0.0,-0.36379061103070853,0.0,0.5513902278617024,0.0,8.237889982759953,0.0,0.6248395843431354,0.0,7.382812558631713e-05,0.0,2.1701389130157622e-08,0.0,13.767270401120186,0.0,1,0.625578420702368,0.0,-0.3538107692475023,0.0,0.996718674316071,0.0,3.0014515668153763,0.0,0.5765052498318255,0.0,2.4265712937676653e-05,0.0,7.064254390343194e-07,0.0
M4J joint,joint baseline,M4J,18.622413590550423,0.0,1,0.819417417049408,0.0,0.2693433420499787,0.0,0.16832242242526263,0.0,4.860752739012241,0.0,0.43674617109354585,0.0,0.0,0.0,6.246566852041724e-05,0.0,19.902809962630272,0.0,1,0.8060281118378043,0.0,0.5183772712480277,0.0,0.43478008918464184,0.0,10.547451339662075,0.0,0.5755431395955384,0.0,6.788194539097958e-05,0.0,0.0,0.0,16.1722412109375,0.0,1,0.7286561508662999,0.0,0.37290690970257856,0.0,0.6862351063173264,0.0,5.40642237663269,0.0,0.5668970793485641,0.0,1.8367061493052006e-05,0.0,0.0,0.0
M4J_ES seed3407,centered E-shape positive,M4J_ES,18.75341321527958,0.0,1,0.817480156198144,0.0,0.419705859181704,0.0,0.2062612595036626,0.0,4.991752348840237,0.0,0.42588164506014436,0.0,0.0,0.0,1.5338261960096133e-05,0.0,20.39322428405285,0.0,1,0.8137610219419003,0.0,0.6643392834812403,0.0,0.4494322268292308,0.0,11.037865675985813,0.0,0.562558043282479,0.0,4.448784770261227e-05,0.0,0.0,0.0,16.88673761487007,0.0,1,0.7388940011151135,0.0,0.8059504618868232,0.0,0.7304192818701267,0.0,6.120918780565262,0.0,0.5727168149314821,0.0,2.2287722089231465e-05,0.0,0.0,0.0
P3c e=0.05 3-seed,default 3-seed,"P3C_E0050_S42,P3C_E0050_S2027,P3C_E0050_S3407",18.528102735678356,0.47202904510475574,3,0.820495349355042,0.002772229789158712,0.4075979986458454,0.010786832107754224,0.16566391120431945,0.035679662585717246,4.76644187917312,0.47202902797999957,0.42429403599817306,0.009428771444794504,0.00015899870965085938,0.0002753938434531804,3.123283464627017e-05,4.152782153445712e-05,20.054228857159615,0.36761948730019045,3,0.8023952307800452,0.010053415259224626,0.71889872274672,0.05036407320954578,0.2881517916296919,0.13984601705915156,10.698870249092579,0.36761948730019045,0.5698747626350572,0.006948363064590248,5.51938661933112e-05,4.8613699803509e-05,0.0,0.0,17.500134165088337,0.849163445305669,3,0.7510299910791218,0.017883583125588576,0.8489191966752211,0.03725413804277719,0.532519353631263,0.2082265294582484,6.734315330783526,0.849163445305669,0.5475860627678534,0.02303899464032873,0.00017130816323411105,0.00023536459886173714,4.591765190298247e-07,7.953170606022739e-07
P3d e=0.10 3-seed,stronger shape control,"P3D_E0100_S42,P3D_E0100_S2027,P3D_E0100_S3407",18.788339748978615,0.23197149726725083,3,0.8220708075289925,0.0046323978655144265,0.4213142862463428,0.010841786303803771,0.17367789937998168,0.013807758287719227,5.0266788974404335,0.23197150094589208,0.42178921001808095,0.005280686413611384,0.00044245191384106874,0.0007663491946788185,5.033281382793575e-07,8.717899083789007e-07,20.011476735273998,0.47824168583724824,3,0.7978004549319545,0.00778677200048639,0.6908936528488994,0.05484683347340509,0.28739381581544876,0.1099461601147566,10.656118129690489,0.4782416848318887,0.557764190249145,0.0195429977497972,4.2339410493733944e-05,4.768596721804683e-05,0.0,0.0,17.44839237133662,0.5712723773257739,3,0.7531315796077251,0.013597066811953046,0.8448626759151617,0.030869431093940643,0.4472899807927509,0.09204816342652464,6.6825735320647555,0.571272373048873,0.5509271731910607,0.02522270511990947,0.0002278810693615204,0.00035028927752250936,0.0,0.0
KinD++,external black-box output-only,p4_official_baselines,,,,,,,,,,,,,,,,,,22.210949687957765,,,0.8410520964860916,,N/A,,N/A,,12.492734813690186,,,,,,,,19.259352045059202,,,0.8047349369525909,,N/A,,N/A,,8.038424649238586,,,,,,,
Retinexformer,external black-box output-only,p4_official_baselines,,,,,,,,,,,,,,,,,,22.79388285636902,,,0.8420706051588058,,N/A,,N/A,,13.075667996406555,,,,,,,,25.668988761901854,,,0.9285000318288803,,N/A,,N/A,,14.448061246871948,,,,,,,
Zero-DCE++,external black-box output-only,p4_official_baselines,,,,,,,,,,,,,,,,,,18.490733785629274,,,0.5930840206146241,,N/A,,N/A,,8.777532343864442,,,,,,,,17.57644090652466,,,0.8105815333127976,,N/A,,N/A,,6.355513505935669,,,,,,,
