variant_id,dataset,image_index,name,patch_index,benefit,harmful,beneficial,mean_low,mean_pred,grad_low,A_mean,Q_risk,E_abs,S_abs,sat_pred
M4J_ES,uefb,0,test_00000,0,0.16475263237953186,0.0,1.0,0.10811243951320648,0.4557454288005829,0.02278953231871128,0.5674757361412048,0.0,1.500433087348938,0.14026431739330292,0.0
M4J_ES,uefb,0,test_00000,1,0.3259790241718292,0.0,1.0,0.13903208076953888,0.5780355930328369,0.022044936195015907,0.6412324905395508,0.0,1.4217332601547241,0.16275514662265778,0.0
M4J_ES,uefb,0,test_00000,2,0.32380735874176025,0.0,1.0,0.13687163591384888,0.5807230472564697,0.020466862246394157,0.648932933807373,0.0,1.4199689626693726,0.16058072447776794,0.0
M4J_ES,uefb,0,test_00000,3,0.3929220139980316,0.0,1.0,0.13446079194545746,0.5918030738830566,0.01909746415913105,0.6551039814949036,0.0,1.4393914937973022,0.14115671813488007,0.0
M4J_ES,uefb,0,test_00000,4,0.37691909074783325,0.0,1.0,0.12520752847194672,0.5722419619560242,0.02004409208893776,0.6470423340797424,0.0,1.466843843460083,0.11370524019002914,0.0
M4J_ES,uefb,0,test_00000,5,0.3965728282928467,0.0,1.0,0.1269710659980774,0.5811949372291565,0.017341945320367813,0.6525757312774658,0.0,1.4616080522537231,0.11894110590219498,0.0
M4J_ES,uefb,0,test_00000,6,0.3805999755859375,0.0,1.0,0.11057469993829727,0.5482681393623352,0.018915759399533272,0.6383772492408752,0.0,1.5065644979476929,0.07398345321416855,0.0
M4J_ES,uefb,0,test_00000,7,0.31468114256858826,0.0,1.0,0.08738785237073898,0.47387591004371643,0.01830928586423397,0.5940173864364624,0.0,1.5632922649383545,0.044013749808073044,0.0
M4J_ES,uefb,0,test_00000,8,0.010779689997434616,0.0,1.0,0.02694007381796837,0.1894320696592331,0.017999840900301933,0.39465633034706116,0.0,1.706589698791504,0.12852610647678375,0.0
M4J_ES,uefb,0,test_00000,9,0.14234459400177002,0.0,1.0,0.07642994821071625,0.38435348868370056,0.0243377685546875,0.5311548113822937,0.0,1.573252558708191,0.09532688558101654,0.0
M4J_ES,uefb,0,test_00000,10,0.25868406891822815,0.0,1.0,0.10941125452518463,0.5280619859695435,0.022205878049135208,0.6310162544250488,0.0,1.46964693069458,0.11090444028377533,0.0
M4J_ES,uefb,0,test_00000,11,0.33206942677497864,0.0,1.0,0.12315530329942703,0.5650876760482788,0.021971918642520905,0.645185649394989,0.0,1.4619585275650024,0.1186966747045517,0.0
M4J_ES,uefb,0,test_00000,12,0.30913326144218445,0.0,1.0,0.10260406881570816,0.5103555917739868,0.02371397241950035,0.6124367117881775,0.0,1.5170551538467407,0.07762075960636139,0.0
M4J_ES,uefb,0,test_00000,13,0.438687264919281,0.0,1.0,0.12575964629650116,0.5860483646392822,0.01931305043399334,0.6527706384658813,0.0,1.4576724767684937,0.12292405962944031,0.0
M4J_ES,uefb,0,test_00000,14,0.32323119044303894,0.0,1.0,0.10590433329343796,0.5255455374717712,0.020176535472273827,0.6305840015411377,0.0,1.502541422843933,0.07815588265657425,0.0
M4J_ES,uefb,0,test_00000,15,0.2190031260251999,0.0,1.0,0.07182379812002182,0.399813175201416,0.023259056732058525,0.5513496398925781,0.0,1.5819915533065796,0.05512595549225807,0.0
M4J_ES,uefb,0,test_00000,16,0.013777569867670536,0.0,1.0,0.02651072107255459,0.18699295818805695,0.017935998737812042,0.3930894732475281,0.0,1.7098124027252197,0.13178449869155884,0.0
