run,variant_id,variant_name,seed,backbone,backbone_blocks,domain_adapter,steps,train_crop,batch_size,gpu,elapsed_sec_train,elapsed_sec_total,uefb_psnr,uefb_ssim,uefb_E_MAE,uefb_E_MAE_aligned,uefb_E_corr,real_psnr,real_ssim,real_E_corr,synthetic_psnr,synthetic_ssim,synthetic_E_corr,run_dir,config,log,real_E_MAE,real_E_MAE_aligned,real_identity_drop,real_input_psnr,real_lee,real_nai,real_over,real_q_ece,real_under,synthetic_E_MAE,synthetic_E_MAE_aligned,synthetic_identity_drop,synthetic_input_psnr,synthetic_lee,synthetic_nai,synthetic_over,synthetic_q_ece,synthetic_under,uefb_identity_drop,uefb_input_psnr,uefb_lee,uefb_nai,uefb_over,uefb_q_ece,uefb_under
p7_p7_ms_dgate_m4j_eshape_multiscale_domain_gate_bias,P7_MS_DGATE,m4j_eshape_multiscale_domain_gate_bias,3407,multiscale,3,gate_bias,1000,128,8,0,112.26435923576355,131.3311848640442,17.601916915893554,0.8035897070169449,0.2551220561489463,0.1910649126879871,0.4851840671946993,19.30850784301758,0.7641607505083085,0.6951754945516586,17.02457058906555,0.7409483829140663,0.8388273733854293,/home/user/a1_rlef_project/experiments/p7_p7_ms_dgate_m4j_eshape_multiscale_domain_gate_bias_seed3407,/home/user/a1_rlef_project/configs/p7_domainhead/p7_p7_ms_dgate_m4j_eshape_multiscale_domain_gate_bias.yml,/home/user/a1_rlef_project/logs/p7_domainhead/p7_p7_ms_dgate_m4j_eshape_multiscale_domain_gate_bias.log,0.39168829143047335,0.2761362883448601,9.590292634963989,9.718215217590332,0.25548462346196177,2.564224326610565,5.026388857913844e-05,0.5295504614710808,1.6666666397213703e-07,0.5924675460904837,0.48994173606857655,5.803642845153808,11.220927743911743,0.3673315010406077,1.2767570626735687,4.12326398463847e-05,0.5420474401116371,0.0,4.606294008255005,12.995622906684876,0.2726340734027326,1.7999929208755494,5.025227913392882e-06,0.41255915431678297,2.421061249151535e-06
p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias,P7_MS_DHEAD,m4j_eshape_multiscale_domain_head_bias,3407,multiscale,3,head_bias,1000,128,8,0,103.99388575553894,122.69202017784119,18.232473875045777,0.8093768837451935,0.2689545268267393,0.19290224832016975,0.4490452868444845,19.208695125579833,0.7790803456306458,0.7062419405579567,17.91337393760681,0.7733059400320053,0.8266446921229362,/home/user/a1_rlef_project/experiments/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias_seed3407,/home/user/a1_rlef_project/configs/p7_domainhead/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias.yml,/home/user/a1_rlef_project/logs/p7_domainhead/p7_p7_ms_dhead_m4j_eshape_multiscale_domain_head_bias.log,0.3355371432751417,0.24671085514128208,9.490479917526246,9.718215217590332,0.23920388791710137,2.7905225801467894,3.976388887167559e-05,0.5769497182965279,0.0,0.5141088584810496,0.4425704044103622,6.692446184158325,11.220927743911743,0.2867071031406522,1.385512273311615,1.1754919160011923e-06,0.5802710089087486,0.0,5.236850964546203,12.995622906684876,0.25997458352521063,1.8524445395469666,0.0,0.42074926307797433,6.103515625e-08
p7_p7_ms_daffine_gate_m4j_eshape_multiscale_domain_affine_gate,P7_MS_DAFFINE_GATE,m4j_eshape_multiscale_domain_affine_gate,3407,multiscale,3,feature_affine+gate_bias,1000,128,8,0,107.75242877006531,126.55271005630493,17.532630689620973,0.8061758613586426,0.27091836611926556,0.18839936379343272,0.4859486765139736,17.020582294464113,0.7462387198209762,0.6396600794792175,18.124069623947143,0.7703119447827339,0.7830202689766884,/home/user/a1_rlef_project/experiments/p7_p7_ms_daffine_gate_m4j_eshape_multiscale_domain_affine_gate_seed3407,/home/user/a1_rlef_project/configs/p7_domainhead/p7_p7_ms_daffine_gate_m4j_eshape_multiscale_domain_affine_gate.yml,/home/user/a1_rlef_project/logs/p7_domainhead/p7_p7_ms_daffine_gate_m4j_eshape_multiscale_domain_affine_gate.log,0.3817735850811005,0.28115580208599567,7.302367086410523,9.718215217590332,0.3072052016109228,2.611040780544281,6.305555725703016e-06,0.5947476354241371,0.0,0.6036114075779915,0.5079653227701784,6.903141884803772,11.220927743911743,0.27059455882757905,1.3307714760303497,3.0291523071355186e-05,0.5296911412477493,0.0,4.537007780075073,12.995622906684876,0.2689665741696954,1.6639608191251756,3.702799617713026e-06,0.42019942732155324,1.0172526344831567e-08
