run,variant_id,variant_name,seed,backbone,backbone_blocks,domain_adapter,real_anchor_weight,steps,train_crop,batch_size,gpu,elapsed_sec_train,elapsed_sec_total,uefb_psnr,uefb_ssim,uefb_E_MAE,uefb_E_MAE_aligned,uefb_E_corr,real_psnr,real_ssim,real_E_corr,synthetic_psnr,synthetic_ssim,synthetic_E_corr,run_dir,config,log,real_E_MAE,real_E_MAE_aligned,real_identity_drop,real_input_psnr,real_lee,real_nai,real_over,real_q_ece,real_under,synthetic_E_MAE,synthetic_E_MAE_aligned,synthetic_identity_drop,synthetic_input_psnr,synthetic_lee,synthetic_nai,synthetic_over,synthetic_q_ece,synthetic_under,uefb_identity_drop,uefb_input_psnr,uefb_lee,uefb_nai,uefb_over,uefb_q_ece,uefb_under
p7b_p7b_dhead_ra001_m4j_eshape_multiscale_dhead_realanchor001,P7B_DHEAD_RA001,m4j_eshape_multiscale_dhead_realanchor001,3407,multiscale,3,head_bias,0.001,1000,128,8,0,102.69968581199646,121.38956952095032,18.190224195480347,0.8089143018722534,0.2722484273277223,0.19672581127937883,0.454693185932003,19.126795558929444,0.7814832109212876,0.7190109038352966,17.516896619796753,0.7687361150979996,0.8234193468093872,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra001_m4j_eshape_multiscale_dhead_realanchor001_seed3407,/home/user/a1_rlef_project/configs/p7b_realanchor/p7b_p7b_dhead_ra001_m4j_eshape_multiscale_dhead_realanchor001.yml,/home/user/a1_rlef_project/logs/p7b_realanchor/p7b_p7b_dhead_ra001_m4j_eshape_multiscale_dhead_realanchor001.log,0.3278607299923897,0.23914959624409676,9.408580350875855,9.718215217590332,0.24521507762372494,2.696107932329178,2.4513888934052375e-05,0.5743414810299874,0.0,0.5319085849076509,0.4560896810889244,6.295968866348266,11.220927743911743,0.30230819022282956,1.3578166848421096,6.781684123779997e-07,0.5757299801707267,0.0,5.1946012945175175,12.995622906684876,0.2644984512925148,1.8154644405841827,0.0,0.43151945362985134,0.0
p7b_p7b_dhead_ra005_m4j_eshape_multiscale_dhead_realanchor005,P7B_DHEAD_RA005,m4j_eshape_multiscale_dhead_realanchor005,3407,multiscale,3,head_bias,0.005,1000,128,8,0,102.78210186958313,121.52855396270752,17.93638457298279,0.8069130313396454,0.2831722668707371,0.1972381222182885,0.4398751827403903,19.0584645652771,0.7829081624746322,0.7189532455801964,18.00824303627014,0.7786229851841927,0.839499214887619,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra005_m4j_eshape_multiscale_dhead_realanchor005_seed3407,/home/user/a1_rlef_project/configs/p7b_realanchor/p7b_p7b_dhead_ra005_m4j_eshape_multiscale_dhead_realanchor005.yml,/home/user/a1_rlef_project/logs/p7b_realanchor/p7b_p7b_dhead_ra005_m4j_eshape_multiscale_dhead_realanchor005.log,0.3768216177821159,0.2432049533724785,9.340249357223511,9.718215217590332,0.2470321936160326,2.654737958908081,5.4750001249885824e-05,0.5768877705931663,0.0,0.5442152485996484,0.4741485781222582,6.787315282821655,11.220927743911743,0.28815786812454464,1.3781963473558425,2.1023220779170513e-06,0.5875825229287147,0.0,4.9407616653442386,12.995622906684876,0.26853780007734895,1.8279768855571747,3.7536622849074774e-06,0.43044135041534903,0.0
p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010,P7B_DHEAD_RA010,m4j_eshape_multiscale_dhead_realanchor010,3407,multiscale,3,head_bias,0.01,1000,128,8,0,101.95105004310608,120.43446516990662,18.0850629196167,0.8059873353242875,0.2676946811452508,0.19431248738523574,0.43838383135208275,19.84705744743347,0.7851390105485916,0.7293146651983261,17.96549958229065,0.7717102473974228,0.8407636713981629,/home/user/a1_rlef_project/experiments/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010_seed3407,/home/user/a1_rlef_project/configs/p7b_realanchor/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010.yml,/home/user/a1_rlef_project/logs/p7b_realanchor/p7b_p7b_dhead_ra010_m4j_eshape_multiscale_dhead_realanchor010.log,0.3147295857965946,0.23987044416368009,10.128842239379884,9.718215217590332,0.22068347603082658,2.6806890392303466,1.6472222087031695e-05,0.5442366778850556,0.0,0.5386350983008742,0.4482694092206657,6.744571843147278,11.220927743911743,0.3044981029070914,1.3766567200422286,5.108868708703085e-06,0.589394137263298,0.0,5.089440015792847,12.995622906684876,0.27219683449342846,1.8051662335395813,0.0,0.408107676461339,6.1543784095192674e-06
