run,dataset,mode,steps,train_crop,batch_size,gpu,elapsed_sec,psnr,ssim,lee,nai,input_psnr,identity_drop,q_ece,over,under,run_dir,log
p1formal_real_adaptive,real,adaptive,1000,128,8,0,300.29983472824097,19.050426445007325,0.757245323061943,0.2560193109884858,2.169876285791397,9.718215217590332,9.332211265563965,0.5711829248070717,0.0005658333391875204,0.0,/home/user/a1_rlef_project/experiments/p1formal_real_adaptive_seed3407,/home/user/a1_rlef_project/logs/p1_formal/p1formal_real_adaptive.log
p1formal_real_fixed0p02,real,fixed0p02,1000,128,8,1,222.85572147369385,18.7337726688385,0.7616687613725662,0.2704579645767808,2.3214147734642028,9.718215217590332,9.015557451248169,0.5975617173314095,0.00021034722382864857,0.0,/home/user/a1_rlef_project/experiments/p1formal_real_fixed0p02_seed3407,/home/user/a1_rlef_project/logs/p1_formal/p1formal_real_fixed0p02.log
p1formal_real_nogauge,real,nogauge,1000,128,8,0,224.51740431785583,18.748321170806886,0.7647226595878601,0.2677193633839488,2.473714257478714,9.718215217590332,9.03010597229004,0.5858515313267708,0.0002313611137924454,0.0,/home/user/a1_rlef_project/experiments/p1formal_real_nogauge_seed3407,/home/user/a1_rlef_project/logs/p1_formal/p1formal_real_nogauge.log
p1formal_synthetic_adaptive,synthetic,adaptive,1000,128,8,1,94.26504635810852,20.269366455078124,0.8430935746431351,0.2113592628762126,1.8714958387613296,11.220927743911743,9.048438692092896,0.5412053775787353,4.017017519799992e-05,5.04105191475901e-05,/home/user/a1_rlef_project/experiments/p1formal_synthetic_adaptive_seed3407,/home/user/a1_rlef_project/logs/p1_formal/p1formal_synthetic_adaptive.log
p1formal_synthetic_fixed0p02,synthetic,fixed0p02,1000,128,8,0,134.00489497184753,19.905960855484008,0.8454889702796936,0.22351998334750534,1.944765972495079,11.220927743911743,8.685033092498779,0.5294244113564491,2.2176106604092638e-05,3.580729228360724e-05,/home/user/a1_rlef_project/experiments/p1formal_synthetic_fixed0p02_seed3407,/home/user/a1_rlef_project/logs/p1_formal/p1formal_synthetic_fixed0p02.log
p1formal_synthetic_nogauge,synthetic,nogauge,1000,128,8,1,137.64127397537231,20.115571641921996,0.8523249250650405,0.2053494193404913,1.9718280613422394,11.220927743911743,8.894643869400024,0.5413233569264412,0.0020305944611482118,4.114221633244597e-06,/home/user/a1_rlef_project/experiments/p1formal_synthetic_nogauge_seed3407,/home/user/a1_rlef_project/logs/p1_formal/p1formal_synthetic_nogauge.log
