run,variant_id,variant_name,steps,train_crop,batch_size,gpu,elapsed_sec_train,elapsed_sec_total,uefb_psnr,uefb_ssim,uefb_E_MAE,uefb_E_MAE_aligned,uefb_E_corr,uefb_identity_drop,uefb_q_ece,real_psnr,real_ssim,real_lee,real_nai,synthetic_psnr,synthetic_ssim,synthetic_lee,synthetic_nai,run_dir,log,real_identity_drop,real_input_psnr,real_over,real_q_ece,real_under,synthetic_identity_drop,synthetic_input_psnr,synthetic_over,synthetic_q_ece,synthetic_under,uefb_input_psnr,uefb_lee,uefb_nai,uefb_over,uefb_under
p3formal_m0_restorer_only,M0,restorer_only,1000,128,8,0,0.00032329559326171875,16.274656295776367,17.378734716415405,0.7863074042201043,1.0759196648920188,0.22189436929719522,0.0,4.383111805915832,0.4124590665400028,15.306243162155152,0.5538760988414287,0.9494601172208786,2.150538765192032,12.564085321426392,0.5629889234900475,0.8643328973278404,1.1728940135240555,/home/user/a1_rlef_project/experiments/p3formal_m0_restorer_only_seed3407,/home/user/a1_rlef_project/logs/p3_formal/p3formal_m0_restorer_only.log,5.5880279445648195,9.718215217590332,1.1111111234640703e-07,0.6613594961166381,9.16666658667964e-07,1.3431575775146485,11.220927743911743,0.0,0.5810799372196197,1.1302807251922786e-07,12.995622906684876,0.3374082369990647,1.7611712079048156,0.0,0.0
p3formal_m1_phys_aux,M1,phys_aux,1000,128,8,1,0.0001518726348876953,15.947935819625854,17.91304881858826,0.8084265565872193,1.03927811896801,0.6114340968430042,-0.3658402948580624,4.917425910949707,0.4074351360499859,16.39550308227539,0.6148400467634201,0.7691474394500255,2.358065458536148,13.177919015884399,0.5940635624527931,0.7358166047185659,1.1099185866117478,/home/user/a1_rlef_project/experiments/p3formal_m1_phys_aux_seed3407,/home/user/a1_rlef_project/logs/p3_formal/p3formal_m1_phys_aux.log,6.677287864685058,9.718215217590332,3.500000043459295e-06,0.6380017450451851,9.305555568062119e-07,1.9569912719726563,11.220927743911743,0.0,0.577272291481495,4.521122718870174e-08,12.995622906684876,0.27925455320253967,1.8262741000652314,0.0,3.621419411501847e-06
p3formal_m2_poisson,M2,poisson,1000,128,8,0,0.00019550323486328125,16.08853507041931,17.89131669807434,0.8089352349042892,1.8329850402474404,0.23038691040314735,-0.10418134256295161,4.895693786621094,0.3976258573681116,16.688868007659913,0.6332144883275032,0.7021692472696305,2.312658762931824,13.340277523994446,0.5983738493919373,0.7068440735712648,1.1401101702451706,/home/user/a1_rlef_project/experiments/p3formal_m2_poisson_seed3407,/home/user/a1_rlef_project/logs/p3_formal/p3formal_m2_poisson.log,6.97065279006958,9.718215217590332,1.3194444363762159e-06,0.6399277803301812,3.0555555895261933e-07,2.1193497800827026,11.220927743911743,0.0,0.5749986845254899,0.0,12.995622906684876,0.2711033066883683,1.7839800590276718,0.0,0.0
p3formal_m3_adaptive_gauge,M3,adaptive_gauge,1000,128,8,1,7.295608520507812e-05,16.041889667510986,17.669781538009644,0.7965783064365387,0.30167609940841794,0.22284445877280087,-0.09479737442359329,4.674158634185791,0.39763275980949403,16.110636653900148,0.6060430723428726,0.732115558385849,2.310316663980484,13.586145191192626,0.6006468939781189,0.6702287014946342,1.166578347682953,/home/user/a1_rlef_project/experiments/p3formal_m3_adaptive_gauge_seed3407,/home/user/a1_rlef_project/logs/p3_formal/p3formal_m3_adaptive_gauge.log,6.392421436309815,9.718215217590332,4.902777827737737e-06,0.6401675534248352,4.58333338428929e-07,2.365217447280884,11.220927743911743,0.0,0.5701479455828666,0.0,12.995622906684876,0.28528795171529053,1.81840710324049,0.0,0.0
p3formal_m4_gate,M4,gate,1000,128,8,0,7.987022399902344e-05,16.315224647521973,18.653046085357666,0.8168541659116745,0.2917189653292298,0.24699577540904283,-0.1393017480619601,5.657423176765442,0.3943383833616972,17.411298198699953,0.6996077278256416,0.5007926805317402,2.2859831964969635,13.963236708641052,0.6283985561132431,0.6928867691569031,1.1803978103399277,/home/user/a1_rlef_project/experiments/p3formal_m4_gate_seed3407,/home/user/a1_rlef_project/logs/p3_formal/p3formal_m4_gate.log,7.69308298587799,9.718215217590332,4.952777814651199e-05,0.6254500466585159,2.7777778086601758e-08,2.7423089647293093,11.220927743911743,4.02379920524254e-05,0.5753823679685592,7.233796441141748e-07,12.995622906684876,0.24699045833945274,1.8200020073652268,2.1464030933202593e-06,3.769938255845773e-05
p3formal_m5_recoverability_q,M5,recoverability_q,1000,128,8,1,7.104873657226562e-05,16.18289804458618,18.53547646522522,0.8151923013925553,0.28529865058604625,0.22553707040753215,-0.24273958566831424,5.539853556632996,0.38886986224353315,17.02892604827881,0.6702239009737968,0.5741163089871406,2.4027152240276335,13.777916941642761,0.6127323251962662,0.7389364942722022,1.1829224264621734,/home/user/a1_rlef_project/experiments/p3formal_m5_recoverability_q_seed3407,/home/user/a1_rlef_project/logs/p3_formal/p3formal_m5_recoverability_q.log,7.310710835456848,9.718215217590332,1.469444460781233e-05,0.6353523164987565,0.0,2.556989197731018,11.220927743911743,1.7338505585939856e-05,0.5643757919967175,1.1754918978112983e-06,12.995622906684876,0.25560849914327266,1.880999563574791,1.871744879281323e-06,4.9865723475704724e-05
