run,variant_id,variant_name,seed,e_shape,e_shape_kernel,steps,train_crop,batch_size,gpu,reused_from_p3b,elapsed_sec_train_or_reuse,elapsed_sec_total,uefb_psnr,uefb_ssim,uefb_E_MAE,uefb_E_MAE_aligned,uefb_E_corr,uefb_identity_drop,uefb_q_ece,real_psnr,real_ssim,real_lee,real_nai,real_E_corr,synthetic_psnr,synthetic_ssim,synthetic_lee,synthetic_nai,synthetic_E_corr,run_dir,config,log,real_E_MAE,real_E_MAE_aligned,real_identity_drop,real_input_psnr,real_over,real_q_ece,real_under,synthetic_E_MAE,synthetic_E_MAE_aligned,synthetic_identity_drop,synthetic_input_psnr,synthetic_over,synthetic_q_ece,synthetic_under,uefb_input_psnr,uefb_lee,uefb_nai,uefb_over,uefb_under
p3c_m4j_es_seed42_e0050,M4J_ES,m4_joint_eshape,42,0.05,7,1000,128,8,0,False,194.20310926437378,215.71436619758606,17.61270069503784,0.8080207085609437,0.2760694233626127,0.21123550217598677,0.4339875929350965,4.617077789306641,0.42351403763890266,19.870283222198488,0.7788351607322693,0.23765803061425686,2.3178249263763426,0.7485140642523765,18.515141887664797,0.77252271682024,0.2841420426405966,1.3579815715551375,0.8679296773672104,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed42_e0050,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.yml,/home/user/a1_rlef_project/logs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.log,0.29358872435986993,0.2128353490680456,10.152068009376526,9.718215217590332,9.444444467590074e-06,0.5487538772821426,0.0,0.4611134346947074,0.37499629743397234,7.294214148521423,11.220927743911743,6.295663223227166e-05,0.5468546313047409,0.0,12.995622906684876,0.268598179385066,1.7515775419473647,1.9124348982586524e-06,2.13623046875e-07
p3c_m4j_es_seed2027_e0050,M4J_ES,m4_joint_eshape,2027,0.05,7,1000,128,8,1,False,195.21050810813904,216.5521969795227,18.14979832649231,0.8094445511102676,0.26154334148019553,0.19680385702848435,0.43456830429937693,5.154175417900086,0.4025779501050711,19.914495515823365,0.7748457711935043,0.2206816852837801,2.378348013162613,0.7256371742486953,17.379152660369872,0.745288900732994,0.35739351715892553,1.3167890751361846,0.8550764727592468,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed2027_e0050,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.yml,/home/user/a1_rlef_project/logs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.log,0.31559453904628754,0.23108128078281878,10.196280303001403,9.718215217590332,7.472222295746179e-05,0.577765045017004,0.0,0.606749193109572,0.4387470358423889,6.158224921226502,11.220927743911743,0.0004165310306916581,0.5287033894658089,2.3509837410529144e-06,12.995622906684876,0.25701115001924335,1.7420671910047532,0.0008930359148689604,4.570516076455533e-05
p3c_m4j_es_seed3407_e0020,M4J_ES,m4_joint_eshape,3407,0.02,7,1000,128,8,1,False,194.7284495830536,215.6313259601593,18.272681873321535,0.8092416067123414,0.2707704928815365,0.1992117620408535,0.4148486800275277,5.277058966636658,0.40829044751822946,20.218660097122193,0.7822284829616547,0.23521728333085776,2.5065152502059935,0.620846141576767,17.47534282684326,0.7510905477404595,0.3596837804466486,1.2859521222114563,0.8169363328814506,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed3407_e0020,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0020.yml,/home/user/a1_rlef_project/logs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0020.log,0.5916113211214542,0.30073960714042186,10.500444903373719,9.718215217590332,3.179166746122064e-05,0.5375352424383163,0.0,0.6961133362352848,0.485810658633709,6.254415092468261,11.220927743911743,3.5716868987947235e-05,0.572992916405201,1.8988715601153673e-06,12.995622906684876,0.2559287390522659,1.7241553390026092,6.195068447595986e-06,7.912191008927039e-05
p3c_m4j_es_seed3407_e0050,M4J_ES,m4_joint_eshape,3407,0.05,7,1000,128,8,0,True,0.0005512237548828125,0.001112222671508789,17.9811068611145,0.8038888010978699,0.29185761863738297,0.19979707964509724,0.43985495356749743,4.985483946800232,0.41910166205465793,20.277040662765504,0.7918556445837021,0.22181059673428535,2.326902861595154,0.6482521766424179,17.140526418685912,0.7430509057641029,0.38118875357322396,1.2214265888929368,0.7991548854112626,/home/user/a1_rlef_project/experiments/p3b_m4j_es_m4_joint_eshape_seed3407,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.yml,/home/user/a1_rlef_project/logs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.log,0.5644065717607737,0.3058271846175194,10.558825459480286,9.718215217590332,2.976388921524631e-05,0.5509941506385804,0.0,0.7858886558935047,0.5171821771748364,5.919598679542542,11.220927743911743,2.0593714070855638e-05,0.5765399113297462,0.0,12.995622906684876,0.2660055019073188,1.664234989643097,1.8310547557121027e-06,4.630533972795092e-05
p3c_m4j_es_seed3407_e0100,M4J_ES,m4_joint_eshape,3407,0.1,7,1000,128,8,0,False,195.8064341545105,216.44927763938904,18.10062364578247,0.8067045341730118,0.26698907202482225,0.1905010990127921,0.4569566066390689,5.105000737190246,0.41210115793347357,20.17924370765686,0.7846959042549133,0.22875097531825303,2.417672485113144,0.6304938986897468,17.820894365310668,0.7588589298725128,0.3310771267861128,1.2720250952243806,0.8006866246461868,/home/user/a1_rlef_project/experiments/p3c_m4j_es_seed3407_e0100,/home/user/a1_rlef_project/configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0100.yml,/home/user/a1_rlef_project/logs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0100.log,0.5182888759672641,0.30515058636665343,10.461028494834899,9.718215217590332,1.2611111433216138e-05,0.5310523295402527,0.0,0.6842454659566283,0.4983179059997201,6.5999666118621825,11.220927743911743,1.0353370930715755e-05,0.5827516657114029,0.0,12.995622906684876,0.2636518543623388,1.7299255564212799,1.281738320358272e-06,7.476806834347372e-06
