run,variant_id,variant_name,seed,backbone,backbone_blocks,synthetic_rec_weight,steps,train_crop,batch_size,gpu,elapsed_sec_train,elapsed_sec_total,uefb_psnr,uefb_ssim,uefb_E_MAE,uefb_E_MAE_aligned,uefb_E_corr,real_psnr,real_ssim,real_E_corr,synthetic_psnr,synthetic_ssim,synthetic_E_corr,run_dir,config,log,real_E_MAE,real_E_MAE_aligned,real_identity_drop,real_input_psnr,real_lee,real_nai,real_over,real_q_ece,real_under,synthetic_E_MAE,synthetic_E_MAE_aligned,synthetic_identity_drop,synthetic_input_psnr,synthetic_lee,synthetic_nai,synthetic_over,synthetic_q_ece,synthetic_under,uefb_identity_drop,uefb_input_psnr,uefb_lee,uefb_nai,uefb_over,uefb_q_ece,uefb_under
p6b_p6b_ms_syn105_m4j_eshape_multiscale_synprotect_rec105,P6B_MS_SYN105,m4j_eshape_multiscale_synprotect_rec105,3407,multiscale,3,1.05,1000,128,8,1,106.33276581764221,125.13928198814392,17.34728762245178,0.7939554097652435,0.2624066978693008,0.18607965636625887,0.48579893982852446,19.996015977859496,0.7946227008104324,0.6437979345023632,18.70765727043152,0.7955880925059319,0.7851948140561581,/home/user/a1_rlef_project/experiments/p6b_p6b_ms_syn105_m4j_eshape_multiscale_synprotect_rec105_seed3407,/home/user/a1_rlef_project/configs/p6b_synprotect/p6b_p6b_ms_syn105_m4j_eshape_multiscale_synprotect_rec105.yml,/home/user/a1_rlef_project/logs/p6b_synprotect/p6b_p6b_ms_syn105_m4j_eshape_multiscale_synprotect_rec105.log,0.35355374559760094,0.2871336716413498,10.277800769805909,9.718215217590332,0.23288242161273956,2.609573969841003,6.648611161836016e-05,0.5658954457938671,0.0,0.6172448767721653,0.5295654548704625,7.486729516983032,11.220927743911743,0.25742175061255695,1.452338594198227,0.0006106906665354473,0.5861157038807869,0.0,4.351664714813232,12.995622906684876,0.28756894819438455,1.8203433566093445,0.00046641033062951465,0.4553847670853138,0.0
p6b_p6b_ms_syn110_m4j_eshape_multiscale_synprotect_rec110,P6B_MS_SYN110,m4j_eshape_multiscale_synprotect_rec110,3407,multiscale,3,1.1,1000,128,8,1,107.83373403549194,126.62404561042786,17.220450368881224,0.7894929777979851,0.29845377412438395,0.18667296978086234,0.45890038813115097,19.569004468917846,0.7914669567346573,0.6803681623935699,18.947991571426392,0.7980414548516274,0.8176507014036178,/home/user/a1_rlef_project/experiments/p6b_p6b_ms_syn110_m4j_eshape_multiscale_synprotect_rec110_seed3407,/home/user/a1_rlef_project/configs/p6b_synprotect/p6b_p6b_ms_syn110_m4j_eshape_multiscale_synprotect_rec110.yml,/home/user/a1_rlef_project/logs/p6b_synprotect/p6b_p6b_ms_syn110_m4j_eshape_multiscale_synprotect_rec110.log,0.3519477605819702,0.26546886675059794,9.850789260864257,9.718215217590332,0.2400502673536539,2.569713770151138,4.673611185353366e-05,0.5647083288431167,0.0,0.5787837974727154,0.49948014033958316,7.727063817977905,11.220927743911743,0.24427858335897326,1.4180347156524657,0.0005516221652897002,0.5800510957837105,0.0,4.224827463150024,12.995622906684876,0.29559828704968094,1.8230770202875137,0.00017304484558644618,0.45865126821398733,0.0
p6b_p6b_ms_syn125_m4j_eshape_multiscale_synprotect_rec125,P6B_MS_SYN125,m4j_eshape_multiscale_synprotect_rec125,3407,multiscale,3,1.25,1000,128,8,1,0.00011682510375976562,0.00034689903259277344,16.894212909698485,0.7831917509436608,0.2910667857117951,0.18476167907752097,0.47469518675841393,19.482140922546385,0.7917910540103912,0.6789291420578957,19.115190801620482,0.8043560448288918,0.7932868549227714,/home/user/a1_rlef_project/experiments/p6b_p6b_ms_syn125_m4j_eshape_multiscale_synprotect_rec125_seed3407,/home/user/a1_rlef_project/configs/p6b_synprotect/p6b_p6b_ms_syn125_m4j_eshape_multiscale_synprotect_rec125.yml,/home/user/a1_rlef_project/logs/p6b_synprotect/p6b_p6b_ms_syn125_m4j_eshape_multiscale_synprotect_rec125.log,0.3443378621339798,0.2754822470992804,9.763925714492798,9.718215217590332,0.24987624507397413,2.6264289307594297,6.700000048567745e-05,0.5833424055576324,0.0,0.6098522741347552,0.5193725615553558,7.8942630577087405,11.220927743911743,0.23654945781454445,1.43540103495121,0.00044345433385842623,0.5863603734970093,0.0,3.8985900020599367,12.995622906684876,0.3077705564722419,1.863082260966301,7.251994087800994e-05,0.4718362773656845,0.0
p6b_p6b_ms_syn150_m4j_eshape_multiscale_synprotect_rec150,P6B_MS_SYN150,m4j_eshape_multiscale_synprotect_rec150,3407,multiscale,3,1.5,1000,128,8,1,9.083747863769531e-05,0.00029587745666503906,16.452310232162475,0.7806067529320717,0.291365364022553,0.18898688344284892,0.468349598236382,19.33663906097412,0.7882148343324661,0.6823137763142586,19.097311792373656,0.8091664037108421,0.7854196205735207,/home/user/a1_rlef_project/experiments/p6b_p6b_ms_syn150_m4j_eshape_multiscale_synprotect_rec150_seed3407,/home/user/a1_rlef_project/configs/p6b_synprotect/p6b_p6b_ms_syn150_m4j_eshape_multiscale_synprotect_rec150.yml,/home/user/a1_rlef_project/logs/p6b_synprotect/p6b_p6b_ms_syn150_m4j_eshape_multiscale_synprotect_rec150.log,0.34357390403747556,0.26253172047436235,9.618423852920532,9.718215217590332,0.24780122138559818,2.7533877658843995,7.548611267793603e-05,0.580921259522438,0.0,0.6099221520125866,0.5000719934888184,7.8763840293884275,11.220927743911743,0.2371601413935423,1.442548658847809,0.0005619077425672004,0.5874366360902786,0.0,3.4566873302459715,12.995622906684876,0.3170080910027027,1.8781714837551118,0.00014913940621227083,0.47993474757671356,0.0
