run,variant_id,variant_name,seed,backbone,backbone_blocks,gate_weight,gate_identity_weight,steps,train_crop,batch_size,gpu,elapsed_sec_train,elapsed_sec_total,uefb_psnr,uefb_ssim,uefb_E_MAE,uefb_E_MAE_aligned,uefb_E_corr,real_psnr,real_ssim,real_E_corr,synthetic_psnr,synthetic_ssim,synthetic_E_corr,run_dir,config,log,real_E_MAE,real_E_MAE_aligned,real_identity_drop,real_input_psnr,real_lee,real_nai,real_over,real_q_ece,real_under,synthetic_E_MAE,synthetic_E_MAE_aligned,synthetic_identity_drop,synthetic_input_psnr,synthetic_lee,synthetic_nai,synthetic_over,synthetic_q_ece,synthetic_under,uefb_identity_drop,uefb_input_psnr,uefb_lee,uefb_nai,uefb_over,uefb_q_ece,uefb_under
p6c_p6c_ms_gateid005_m4j_eshape_multiscale_gate_identity005,P6C_MS_GATEID005,m4j_eshape_multiscale_gate_identity005,3407,multiscale,3,0.02,0.005,1000,128,8,1,104.12986707687378,122.29829812049866,17.604479446411133,0.8022428329586982,0.27299524390697477,0.20094230479747058,0.4546149187099654,20.45649332046509,0.7888054418563842,0.597949806842953,17.549940328598023,0.7594983342289925,0.834482163488865,/home/user/a1_rlef_project/experiments/p6c_p6c_ms_gateid005_m4j_eshape_multiscale_gate_identity005_seed3407,/home/user/a1_rlef_project/configs/p6c_gateprotect/p6c_p6c_ms_gateid005_m4j_eshape_multiscale_gate_identity005.yml,/home/user/a1_rlef_project/logs/p6c_gateprotect/p6c_p6c_ms_gateid005_m4j_eshape_multiscale_gate_identity005.log,0.3474002626538277,0.2835200775414705,10.7382781124115,9.718215217590332,0.2101771605759859,2.3517996788024904,3.643055589691357e-05,0.5372219528257847,0.0,0.5280763177946209,0.45917023953050373,6.329012579917908,11.220927743911743,0.3105840597487986,1.2540219515562057,7.482458286176552e-06,0.5769839385151863,0.0,4.608856534957885,12.995622906684876,0.2743759913817048,1.6977855826616288,1.1088053779531037e-06,0.43374895983934403,0.0
p6c_p6c_ms_gateid010_m4j_eshape_multiscale_gate_identity010,P6C_MS_GATEID010,m4j_eshape_multiscale_gate_identity010,3407,multiscale,3,0.02,0.01,1000,128,8,1,103.69942879676819,121.69797873497009,17.650664937973023,0.8042102547287941,0.2793820172995329,0.19020290032029152,0.49500026272190734,19.817709140777588,0.7721729511022568,0.6711847257614135,17.889519605636597,0.7658121675252915,0.8547300368547439,/home/user/a1_rlef_project/experiments/p6c_p6c_ms_gateid010_m4j_eshape_multiscale_gate_identity010_seed3407,/home/user/a1_rlef_project/configs/p6c_gateprotect/p6c_p6c_ms_gateid010_m4j_eshape_multiscale_gate_identity010.yml,/home/user/a1_rlef_project/logs/p6c_gateprotect/p6c_p6c_ms_gateid010_m4j_eshape_multiscale_gate_identity010.log,0.3272415198385715,0.24629306599497794,10.099493932723998,9.718215217590332,0.23286661356687546,2.5059072303771974,3.226388974326255e-05,0.5349542412161827,0.0,0.49785848416388034,0.4093482798337936,6.6685918521881105,11.220927743911743,0.29747765433043244,1.2687751352787018,1.0602033030409075e-05,0.5697656300663948,1.1302807251922786e-07,4.655042031288147,12.995622906684876,0.2713068579733372,1.743343134045601,1.5360514917119872e-06,0.42230663208663466,0.0
p6c_p6c_ms_gatelow005_m4j_eshape_multiscale_gate_weight005,P6C_MS_GATELOW005,m4j_eshape_multiscale_gate_weight005,3407,multiscale,3,0.005,0.0,1000,128,8,1,100.71615862846375,118.76306581497192,18.045519947052004,0.8009635000228882,0.26024468598142264,0.18701247788220643,0.4893321904027835,19.831391124725343,0.7796929395198822,0.5824910935759544,17.421976776123046,0.7515624159574509,0.7791253143921495,/home/user/a1_rlef_project/experiments/p6c_p6c_ms_gatelow005_m4j_eshape_multiscale_gate_weight005_seed3407,/home/user/a1_rlef_project/configs/p6c_gateprotect/p6c_p6c_ms_gatelow005_m4j_eshape_multiscale_gate_weight005.yml,/home/user/a1_rlef_project/logs/p6c_gateprotect/p6c_p6c_ms_gatelow005_m4j_eshape_multiscale_gate_weight005.log,0.361205679923296,0.2858444292098284,10.113175911903381,9.718215217590332,0.23386269703507423,2.429990358352661,2.4388889319197915e-05,0.5394898453354835,0.0,0.5790072459727525,0.509205759037286,6.201049027442932,11.220927743911743,0.3313578944094479,1.2731668281555175,0.0005898708808672381,0.5848909425735473,0.0,5.049897042274475,12.995622906684876,0.2696015094444156,1.721859979391098,0.0004289042303298629,0.40883901315927507,0.0
p6c_p6c_ms_b2_gateid005_m4j_eshape_multiscale_blocks2_gate_identity005,P6C_MS_B2_GATEID005,m4j_eshape_multiscale_blocks2_gate_identity005,3407,multiscale,2,0.02,0.005,1000,128,8,1,108.78041124343872,126.88667583465576,17.560577617645265,0.7958104727268219,0.2865124671012163,0.20544154769927264,0.407179239732679,19.313769760131837,0.7567281049489974,0.6002324110269547,17.10307321548462,0.7587819221615791,0.7638159991800785,/home/user/a1_rlef_project/experiments/p6c_p6c_ms_b2_gateid005_m4j_eshape_multiscale_blocks2_gate_identity005_seed3407,/home/user/a1_rlef_project/configs/p6c_gateprotect/p6c_p6c_ms_b2_gateid005_m4j_eshape_multiscale_blocks2_gate_identity005.yml,/home/user/a1_rlef_project/logs/p6c_gateprotect/p6c_p6c_ms_b2_gateid005_m4j_eshape_multiscale_blocks2_gate_identity005.log,0.43623490184545516,0.30241065710783005,9.595554547309876,9.718215217590332,0.28448309674859046,2.527427407503128,6.12499989074422e-06,0.568404499143362,0.0,0.5825525371730328,0.4901717568188906,5.882145471572876,11.220927743911743,0.3248426539450884,1.2667714762687683,3.5716868842428082e-06,0.5629659278690815,0.0,4.56495470905304,12.995622906684876,0.28123720762506127,1.773463523864746,2.8177898302601536e-06,0.42592383371293546,0.0
