method,dataset,n,psnr,ssim,lee,nai,input_psnr,identity_drop,over,under,status,pred_dir
Retinexformer,real,100,22.79388285636902,0.8420706051588058,0.1864641983062029,3.2153385400772097,9.718214888572692,13.075667996406555,0.0006290555555960964,0.00035595833288425637,ok,/home/user/a1_rlef_project/experiments/p4_official_baselines/retinexformer/results/LOL_v2_real/RetinexFormer_LOL_v2_real/LOL_v2_real
Retinexformer,synthetic,100,25.668988761901854,0.9285000318288803,0.1250442335009575,2.1598500871658324,11.220927395820617,14.448061246871948,0.005218573689066943,0.004482806260216421,ok,/home/user/a1_rlef_project/experiments/p4_official_baselines/retinexformer/results/LOL_v2_synthetic/RetinexFormer_LOL_v2_synthetic/LOL_v2_synthetic
Zero-DCE++,real,100,18.490733785629274,0.5930840206146241,0.4450335358455777,4.98403945684433,9.713201432228088,8.777532343864442,9.046015704370802e-05,0.06697309236682486,ok,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/real
Zero-DCE++,synthetic,100,17.57644090652466,0.8105815333127976,0.41255780044943097,2.334061104059219,11.220927395820617,6.355513505935669,0.009270268192963158,0.029672490214693426,ok,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic
KinD++,real,100,22.210949687957765,0.8410520964860916,0.1481490283086896,4.61040726184845,9.718214888572692,12.492734813690186,1.699999952052167e-05,2.2222222014534053e-06,ok,/home/user/a1_rlef_project/experiments/p4_official_baselines/kindpp/results/real/LOLdataset
KinD++,synthetic,100,19.259352045059202,0.8047349369525909,0.21477956391870975,2.586823433637619,11.220927395820617,8.038424649238586,0.0013311315371629462,0.008490487567114543,ok,/home/user/a1_rlef_project/experiments/p4_official_baselines/kindpp/results/synthetic/LOLdataset
