method,dataset,n,status,psnr,ssim,lee,nai,identity_drop,internal_field_metrics,output_only_metrics,pred_dir,claim_boundary
Retinexformer,real,100,ok,22.79388285636902,0.8420706051588058,0.1864641983062029,3.2153385400772097,13.075667996406555,N/A_black_box,True,/home/user/a1_rlef_project/experiments/p4_official_baselines/retinexformer/results/LOL_v2_real/RetinexFormer_LOL_v2_real/LOL_v2_real,external black-box baseline; do not compare E/S/Gauge metrics
Retinexformer,synthetic,100,ok,25.668988761901854,0.9285000318288803,0.1250442335009575,2.1598500871658324,14.448061246871948,N/A_black_box,True,/home/user/a1_rlef_project/experiments/p4_official_baselines/retinexformer/results/LOL_v2_synthetic/RetinexFormer_LOL_v2_synthetic/LOL_v2_synthetic,external black-box baseline; do not compare E/S/Gauge metrics
Zero-DCE++,real,100,ok,18.490733785629274,0.5930840206146241,0.4450335358455777,4.98403945684433,8.777532343864442,N/A_black_box,True,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/real,external black-box baseline; do not compare E/S/Gauge metrics
Zero-DCE++,synthetic,100,ok,17.57644090652466,0.8105815333127976,0.41255780044943097,2.334061104059219,6.355513505935669,N/A_black_box,True,/home/user/a1_rlef_project/experiments/p4_official_baselines/zero_dce_pp/results/synthetic,external black-box baseline; do not compare E/S/Gauge metrics
KinD++,real,100,ok,22.210949687957765,0.8410520964860916,0.1481490283086896,4.61040726184845,12.492734813690186,N/A_black_box,True,/home/user/a1_rlef_project/experiments/p4_official_baselines/kindpp/results/real/LOLdataset,external black-box baseline; do not compare E/S/Gauge metrics
KinD++,synthetic,100,ok,19.259352045059202,0.8047349369525909,0.21477956391870975,2.586823433637619,8.038424649238586,N/A_black_box,True,/home/user/a1_rlef_project/experiments/p4_official_baselines/kindpp/results/synthetic/LOLdataset,external black-box baseline; do not compare E/S/Gauge metrics
