contrast,dark_ratio,dataset,mean_luma,method,n,niqe,noise_proxy,over,sharpness_proxy,under
0.2278997015909872,0.12150180853693394,DICM,0.41945749564447266,P3c_RLEF_seed3407,69,4.444510231722518,0.010394186299442705,0.008282939589680486,331.4893868211387,9.819569679845276e-06
0.21937888860702515,0.32580170144547405,DICM,0.32487846025522205,input_low,69,4.406368080649312,0.014050321607931477,0.026944534978823653,530.9841987361078,0.15232199301285518
0.18442383855581285,0.12340329143940085,LIME,0.3179111748933792,P3c_RLEF_seed3407,10,4.994614984482092,0.008196728851180524,0.00011283899597163923,351.5394542694092,0.0
0.15288777276873589,0.5716063348054814,LIME,0.14435426741838456,input_low,10,4.6477501303858615,0.01530366213992238,0.0034155080855284895,569.5408088684082,0.17912034052649214
0.21912912060232723,0.1645285573530301,MEF,0.30959710303474874,P3c_RLEF_seed3407,17,4.637235895122452,0.006272902123301345,0.00022350608473278193,217.59034538269043,0.0
0.19139890942503424,0.6063700163176388,MEF,0.16274571374935262,input_low,17,4.815061691954561,0.009991230538991444,0.0057174397444412686,371.4274679071763,0.23189606502588045
0.25142359174788,0.08474150806802155,NPE,0.43413572385907173,P3c_RLEF_seed3407,8,4.342104460534296,0.018556192924734205,0.0002124124391054117,425.49580001831055,0.0
0.2556066010147333,0.298563648685519,NPE,0.34131326898932457,input_low,8,4.520567216490282,0.020650339894928038,0.003934327600758084,602.635009765625,0.0663340543555746
0.27112641247610253,0.22819147123880767,VV,0.3542569565276305,P3c_RLEF_seed3407,24,4.0643626440656275,0.0036725508058831715,2.3400996120541842e-05,153.83220179875693,0.0
0.2740251875172059,0.48791977552491556,VV,0.25993509342273075,input_low,24,3.95514064660108,0.005251973435709563,0.016600653907022707,263.86506123344105,0.20058905747268727
