dataset,image_id,method,source_path,niqe,mean_luma,over,under,dark_ratio,contrast,sharpness_proxy,noise_proxy
DICM,01.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/01.JPG,3.3509145981381976,0.09174858778715134,0.0009830729166666666,0.532021484375,0.7975846354166667,0.17726553976535797,1077.55322265625,0.011112776584923267
DICM,01.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/01.png,3.1456360633889435,0.20648130774497986,9.765625e-06,0.0,0.513935546875,0.19362817704677582,529.0940551757812,0.0029392861761152744
DICM,02.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/02.JPG,3.109425259661987,0.2547683119773865,0.006139322916666667,0.18175130208333334,0.44091471354166667,0.2542766034603119,1987.4000244140625,0.020454108715057373
DICM,02.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/02.png,3.0480987772234234,0.345884770154953,0.0,0.0,0.28688151041666665,0.26336848735809326,1102.9422607421875,0.007982591167092323
DICM,03.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/03.JPG,3.35919331130866,0.19334642589092255,0.015211588541666666,0.20873046875,0.5004654947916667,0.23112580180168152,421.08929443359375,0.00792271550744772
DICM,03.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/03.png,3.2029244465555182,0.31651821732521057,3.580729166666667e-05,0.0,0.23364908854166666,0.2388978898525238,229.919189453125,0.00451828446239233
DICM,04.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/04.JPG,3.9509280489363814,0.41412195563316345,0.07975260416666667,0.04129557291666667,0.16029622395833334,0.36215323209762573,294.8763732910156,0.01196418609470129
DICM,04.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/04.png,3.8313725226046134,0.46346887946128845,0.001474609375,0.0,0.06433268229166667,0.32879191637039185,200.0474395751953,0.008974512107670307
DICM,05.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/05.JPG,3.922615324074206,0.45470932126045227,0.05692057291666667,0.057578125,0.23095377604166667,0.33113956451416016,108.91940307617188,0.007247607223689556
DICM,05.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/05.png,3.8852966891194676,0.47464674711227417,0.0,1.6276041666666666e-05,0.20552734375,0.31421542167663574,90.9721908569336,0.0065063913352787495
DICM,06.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/06.JPG,4.250305696675219,0.11084133386611938,0.002138671875,0.2750325520833333,0.5294856770833334,0.11104881763458252,255.01817321777344,0.012455448508262634
DICM,06.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/06.png,5.960885886178137,0.30638137459754944,0.0015983072916666667,0.0,0.20278971354166667,0.18943504989147186,229.98023986816406,0.005194733384996653
DICM,07.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/07.JPG,5.170713620357814,0.4495997130870819,0.003372395833333333,0.132919921875,0.325263671875,0.33048421144485474,237.58609008789062,0.008884159848093987
DICM,07.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/07.png,4.831052411538029,0.4853954613208771,0.0,0.0,0.26697265625,0.31937259435653687,183.44276428222656,0.006901271641254425
DICM,08.JPG,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/08.JPG,4.321925981960066,0.05301110818982124,0.000556640625,0.6617057291666667,0.8596712239583333,0.12001517415046692,2591.132080078125,0.022393016144633293
DICM,08.JPG,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/08.png,3.9328212927047006,0.19223754107952118,0.0004524739583333333,0.0,0.484619140625,0.17005620896816254,1042.4853515625,0.00433621509000659
