variant_id,display,role,seed,e_shape,dataset,sample_index,name,psnr,ssim,lee,nai,input_psnr,identity_drop,q_ece,over,under,A_mean,Q_mean,mu_E,E_MAE,E_MAE_aligned,S_MAE,Gauge_MAE,S_corr,E_corr,mu_pred,mu_gt
M4,M4 A-gate,counterexample,3407,,uefb,0,test_00000,17.02223014831543,0.7519239187240601,0.23671483993530273,1.924425721168518,7.2327094078063965,9.789520263671875,0.4139050841331482,0.0,0.0,0.5294322371482849,1.0,1.6082181930541992,0.22040902078151703,0.11289861798286438,0.11289861798286438,0.20384788513183594,0.24886372685432434,0.24886372685432434,1.6082181930541992,1.8120660781860352
M4,M4 A-gate,counterexample,3407,,uefb,1,test_00001,23.628007888793945,0.9664620161056519,0.18023939430713654,1.0836724042892456,36.61408996582031,-12.986082077026367,0.6790028214454651,0.0,0.0,0.29221856594085693,1.0,0.20756714046001434,0.1731112003326416,0.08581994473934174,0.08581994473934174,0.17026488482952118,0.14982262253761292,0.14982262253761292,0.20756715536117554,0.037302274256944656
M4,M4 A-gate,counterexample,3407,,uefb,2,test_00002,17.219287872314453,0.8859952688217163,0.26729875802993774,1.9220083951950073,12.974200248718262,4.245087623596191,0.5660501718521118,0.0,0.0,0.613987147808075,1.0,1.0642489194869995,0.37356916069984436,0.289193332195282,0.289193332195282,0.21417897939682007,-0.6570414304733276,-0.6570414304733276,1.0642489194869995,0.8500699400901794
M4,M4 A-gate,counterexample,3407,,uefb,3,test_00003,16.98493194580078,0.7792391180992126,0.348582923412323,2.4907515048980713,9.121519088745117,7.863412857055664,0.30794864892959595,0.0,0.0,0.5008105635643005,1.0,1.4072433710098267,0.3994761109352112,0.39820846915245056,0.39820846915245056,0.04032790660858154,-0.01771145686507225,-0.01771145686507225,1.407243251800537,1.4475711584091187
M4,M4 A-gate,counterexample,3407,,uefb,4,test_00004,18.222475051879883,0.8152972459793091,0.2209937870502472,1.0018768310546875,8.732051849365234,9.490423202514648,0.36062091588974,0.0,0.0,0.5401473045349121,1.0,1.5991884469985962,0.34517142176628113,0.34346553683280945,0.34346553683280945,0.1376502513885498,-0.4620915353298187,-0.4620915353298187,1.5991883277893066,1.7368385791778564
M4,M4 A-gate,counterexample,3407,,uefb,5,test_00005,18.833721160888672,0.850584864616394,0.20821282267570496,1.7721294164657593,10.566834449768066,8.266886711120605,0.3616325855255127,0.0,0.0,0.5061153173446655,1.0,0.9348500967025757,0.24816171824932098,0.2462230622768402,0.2462230622768402,0.023871302604675293,-0.1285579800605774,-0.1285579800605774,0.9348500967025757,0.9109787940979004
M4,M4 A-gate,counterexample,3407,,uefb,6,test_00006,17.725521087646484,0.8175956606864929,0.19879938662052155,1.7009828090667725,8.206796646118164,9.51872444152832,0.41379809379577637,0.0,0.0,0.6103575229644775,1.0,0.9567970633506775,0.3040120601654053,0.2988302707672119,0.2988302707672119,0.10476624965667725,-0.5847086310386658,-0.5847086310386658,0.9567971229553223,1.0615633726119995
M4,M4 A-gate,counterexample,3407,,uefb,7,test_00007,28.93987274169922,0.9862262606620789,0.04734694957733154,1.0071802139282227,26.707971572875977,2.231901168823242,0.4782865643501282,0.0,0.0,0.16677619516849518,1.0,0.023210134357213974,0.14557820558547974,0.1361834704875946,0.1361834704875946,0.0539717935025692,-0.31638815999031067,-0.31638815999031067,0.023210052400827408,0.0771818459033966
M4,M4 A-gate,counterexample,3407,,uefb,8,test_00008,15.199484825134277,0.7908973693847656,0.3389103412628174,1.8288285732269287,14.057554244995117,1.1419305801391602,0.5436563491821289,0.0,0.0,0.6161332726478577,1.0,0.9743149280548096,0.3859744966030121,0.22931702435016632,0.22931702435016632,0.3224939703941345,-0.30166783928871155,-0.30166783928871155,0.9743148684501648,0.6518208980560303
M4,M4 A-gate,counterexample,3407,,uefb,9,test_00009,18.332847595214844,0.8480943441390991,0.18532004952430725,3.338052749633789,7.696164131164551,10.636683464050293,0.37310317158699036,0.0,0.0,0.5421639084815979,1.0,1.679914116859436,0.25998616218566895,0.24148762226104736,0.24148762226104736,0.19530963897705078,-0.16085278987884521,-0.16085278987884521,1.679914116859436,1.8752237558364868
