variant_id,dataset,n,display,role,seed,e_shape,psnr,psnr_std,ssim,ssim_std,lee,lee_std,nai,nai_std,identity_drop,identity_drop_std,E_MAE,E_MAE_std,S_MAE,S_MAE_std,Gauge_MAE,Gauge_MAE_std,S_corr,S_corr_std,q_ece,q_ece_std,over,over_std,under,under_std,A_mean,A_mean_std,mu_E,mu_E_std
M4,real,64,M4 A-gate,counterexample,3407,,17.593248590826988,3.9681986548385475,0.7343578478321433,0.10314964863785903,0.43148687947541475,0.26744356739398517,2.3218570798635483,0.4400762771910337,8.237889982759953,2.9738905991019324,0.610514274565503,0.3499837896479627,0.34508877398911864,0.1399693278284176,0.5513902278617024,0.3936732687203457,-0.36379061103070853,0.17698539538283956,0.6248395843431354,0.1283283978062103,7.382812558631713e-05,0.00024407429706459254,2.1701389130157622e-08,1.7361111304126098e-07,0.49149093590676785,0.07197753042727778,1.6109781013801694,0.30510805105133565
M4,synthetic,64,M4 A-gate,counterexample,3407,,13.767270401120186,4.250555969549423,0.625578420702368,0.142123029087801,0.6899892642395571,0.2746691208405671,1.2113024350255728,0.24620634801689648,3.0014515668153763,2.2290695250159738,1.1378444519359618,0.5286193963004914,0.7097820951603353,0.3870166840273283,0.996718674316071,0.5230612357860653,-0.3538107692475023,0.34821813265088675,0.5765052498318255,0.10847466966483474,2.4265712937676653e-05,0.00010503455727724095,7.064254390343194e-07,2.9836528890696316e-06,0.3467227052897215,0.08871388776098656,0.6793631950276904,0.3757845943104118
M4,uefb,64,M4 A-gate,counterexample,3407,,18.79995822906494,4.833884895240029,0.8263602461665869,0.09297379311287586,0.23737921979045495,0.10655683980619636,1.867689865641296,0.8956443331765461,5.038297355175018,6.493256054953026,0.28239662491250783,0.12265560119618188,0.23947789473459125,0.11663063068437628,0.14293473586440086,0.12305169269753041,-0.15751841658129706,0.24836150679026278,0.4064189859200269,0.11687398979521375,0.0,0.0,1.3748804732927056e-05,0.00010870612379636082,0.4773450556676835,0.13810854658308372,1.028632364119403,0.617787288059076
M4J,real,64,M4J joint,joint_baseline,3407,,19.902809962630272,3.365187782587625,0.8060281118378043,0.0547208247825829,0.22628750200965442,0.1430589001374977,2.337082128971815,0.48637317443304934,10.547451339662075,3.955361993255885,0.4864459752570838,0.28902411715578696,0.30232267919927835,0.13368758391117622,0.43478008918464184,0.3292497600809397,0.5183772712480277,0.16252860454251886,0.5755431395955384,0.11238777020626728,6.788194539097958e-05,0.00021052994159366512,0.0,0.0,0.5279512843117118,0.05248274328502864,1.7320861490443349,0.3333402317550992
M4J,synthetic,64,M4J joint,joint_baseline,3407,,16.1722412109375,4.16636592829962,0.7286561508662999,0.10779797841779008,0.40744815359357744,0.20525838133332244,1.2749781934544444,0.3079905151617652,5.40642237663269,2.7274599809056,0.8697973126545548,0.457568756165024,0.6445032396586612,0.36554033926709517,0.6862351063173264,0.4305541846709154,0.37290690970257856,0.4291905451175459,0.5668970793485641,0.11622753947479357,1.8367061493052006e-05,9.393739933073283e-05,0.0,0.0,0.3809609613381326,0.08207671611007945,0.9941939695272595,0.4512723199604703
M4J,uefb,64,M4J joint,joint_baseline,3407,,18.622413590550423,4.595892181297103,0.819417417049408,0.09373601594027474,0.2353033027611673,0.11192408261643591,1.7659377297386527,0.8173126676397763,4.860752739012241,6.634626182251622,0.26605971954995766,0.12116526140264867,0.2068066166830249,0.11411631070262002,0.16832242242526263,0.12871679924688306,0.2693433420499787,0.28486822937720746,0.43674617109354585,0.1219124591440104,0.0,0.0,6.246566852041724e-05,0.00034133463551921494,0.431578173302114,0.13721937118216732,1.017462577961851,0.5896455729049012
M4J_ES,real,64,M4J_ES seed3407,centered_shape_positive,3407,0.05,20.39322428405285,3.0953450080774436,0.8137610219419003,0.049123751993624176,0.20544380060164258,0.12667844657543353,2.2572554666548967,0.4624901414306413,11.037865675985813,3.750396143184152,0.48017097485717386,0.30763483976768774,0.2622667310060933,0.12601329743338596,0.4494322268292308,0.33763974824572746,0.6643392834812403,0.10023116552360405,0.562558043282479,0.10942322859503065,4.448784770261227e-05,0.00014933961506570967,0.0,0.0,0.5425160625018179,0.050682895470157335,1.692529959604144,0.30741398848536394
M4J_ES,synthetic,64,M4J_ES seed3407,centered_shape_positive,3407,0.05,16.88673761487007,4.43338383055962,0.7388940011151135,0.10638686374278443,0.3895767708308995,0.19455422638479053,1.2581543754786253,0.30824788582622703,6.120918780565262,3.075718666936003,0.8124582815216854,0.4408460174480121,0.5346084191696718,0.3413597609133511,0.7304192818701267,0.4275842255840971,0.8059504618868232,0.11361123869776049,0.5727168149314821,0.09195406490760095,2.2287722089231465e-05,0.00010122676911969208,0.0,0.0,0.38794631347991526,0.08605457505216378,0.9509082783479244,0.43147829006786304
M4J_ES,uefb,64,M4J_ES seed3407,centered_shape_positive,3407,0.05,18.75341321527958,5.301317531050849,0.817480156198144,0.09730631548245247,0.2407314021838829,0.12297955799211727,1.7004209496080875,0.7667685522945277,4.991752348840237,5.9125922328803995,0.2787460418185219,0.1325242783327223,0.19264816894428805,0.08866097404684418,0.2062612595036626,0.1557850661896479,0.419705859181704,0.2998719900991456,0.42588164506014436,0.11138228678250842,0.0,0.0,1.5338261960096133e-05,0.00011460806736638422,0.42372642387636006,0.16904904320728242,0.9798644770635292,0.5650387116747033
P3C_E0050_S2027,real,64,P3c e=0.05 seed2027,default_3seed,2027,0.05,20.105990409851074,2.9810160874608,0.7987581240013242,0.05688613992489524,0.21967212588060647,0.11387372878460321,2.3428516946733,0.5087914788831054,10.750631801784039,3.2812749216035275,0.288713215617463,0.11169839909202893,0.20133629848714918,0.07572936604858381,0.2144667450338602,0.14853700489495045,0.7287431173026562,0.0968219864752135,0.5763842558953911,0.10784313114318965,0.00010826823003640129,0.0002948846633173854,0.0,0.0,0.536561640445143,0.044300022896296046,2.034955970942974,0.5395708351115561
P3C_E0050_S2027,synthetic,64,P3c e=0.05 seed2027,default_3seed,2027,0.05,17.144346922636032,4.152982914000402,0.7426286786794662,0.09182353100352428,0.3647845016676001,0.17740527911664897,1.3495063772425056,0.30495118702938967,6.3785280883312225,3.1954991168978335,0.6298871277831495,0.34429172147989895,0.44813403236912563,0.28943863545576837,0.5518275874201208,0.35042840500630634,0.8686324981972575,0.07985660613347546,0.5274622975848615,0.09414268333241506,0.0004426461650979263,0.001337220284076087,1.3775295570894741e-06,7.541845209751245e-06,0.3991609225049615,0.10777116680353702,1.179680565255694,0.6693603856430536
P3C_E0050_S2027,uefb,64,P3c e=0.05 seed2027,default_3seed,2027,0.05,18.845258861780167,5.582111126343735,0.8229339215904474,0.09147586418391879,0.2338328630430624,0.10969076941312789,1.7796338200569153,0.8244879409642463,5.083597995340824,5.581815895931689,0.2424914981238544,0.11144750984105234,0.1927850291831419,0.09663047193079233,0.15144222689559683,0.11913784673869461,0.404074983598548,0.2857166464674396,0.4141722437925637,0.10703617771481638,0.00047699612895257815,0.0024522562785637718,7.836024197871438e-05,0.0002930083939471684,0.4244683318538591,0.17278496960743422,1.0607803689781576,0.683221118905141
P3C_E0050_S3407,real,64,P3c e=0.05 seed3407,default_3seed,3407,0.05,20.39322428405285,3.0953450080774436,0.8137610219419003,0.049123751993624176,0.20544380060164258,0.12667844657543353,2.2572554666548967,0.4624901414306413,11.037865675985813,3.750396143184152,0.48017097485717386,0.30763483976768774,0.2622667310060933,0.12601329743338596,0.4494322268292308,0.33763974824572746,0.6643392834812403,0.10023116552360405,0.562558043282479,0.10942322859503065,4.448784770261227e-05,0.00014933961506570967,0.0,0.0,0.5425160625018179,0.050682895470157335,1.692529959604144,0.30741398848536394
P3C_E0050_S3407,synthetic,64,P3c e=0.05 seed3407,default_3seed,3407,0.05,16.88673761487007,4.43338383055962,0.7388940011151135,0.10638686374278443,0.3895767708308995,0.19455422638479053,1.2581543754786253,0.30824788582622703,6.120918780565262,3.075718666936003,0.8124582815216854,0.4408460174480121,0.5346084191696718,0.3413597609133511,0.7304192818701267,0.4275842255840971,0.8059504618868232,0.11361123869776049,0.5727168149314821,0.09195406490760095,2.2287722089231465e-05,0.00010122676911969208,0.0,0.0,0.38794631347991526,0.08605457505216378,0.9509082783479244,0.43147829006786304
P3C_E0050_S3407,uefb,64,P3c e=0.05 seed3407,default_3seed,3407,0.05,18.75341321527958,5.301317531050849,0.817480156198144,0.09730631548245247,0.2407314021838829,0.12297955799211727,1.7004209496080875,0.7667685522945277,4.991752348840237,5.9125922328803995,0.2787460418185219,0.1325242783327223,0.19264816894428805,0.08866097404684418,0.2062612595036626,0.1557850661896479,0.419705859181704,0.2998719900991456,0.42588164506014436,0.11138228678250842,0.0,0.0,1.5338261960096133e-05,0.00011460806736638422,0.42372642387636006,0.16904904320728242,0.9798644770635292,0.5650387116747033
P3C_E0050_S42,real,64,P3c e=0.05 seed42,default_3seed,42,0.05,19.66347187757492,2.8926333115727427,0.7946665463969111,0.056090039548515554,0.24728956492617726,0.11557904445972231,2.2744078394025564,0.38426976870409824,10.308113269507885,3.2146438220066065,0.2623620672384277,0.11075943375876802,0.17795652442146093,0.07473157759221175,0.20055640302598476,0.1425166405994139,0.7636137674562633,0.082755933337081,0.5706819887273014,0.10970898656810933,1.2825520840920035e-05,4.268934718093902e-05,0.0,0.0,0.5674150567501783,0.036279447459162964,2.041503444314003,0.4695407564793459
P3C_E0050_S42,synthetic,64,P3c e=0.05 seed42,default_3seed,42,0.05,18.469317957758904,3.6296396645465627,0.7715672934427857,0.09695631132538152,0.2880523241474293,0.13812014769291042,1.3984266882762313,0.35432870597852123,7.703499123454094,3.3447319046850192,0.47192667226772755,0.2693222888038265,0.3834137803642079,0.28421615633798925,0.3153111916035414,0.22545460619952562,0.8721746299415827,0.07434643117055502,0.5425790757872164,0.08842435936398582,4.8990602515175397e-05,0.0002242331751232919,0.0,0.0,0.5060473633930087,0.06576000856013535,1.464572080411017,0.6435735317255257
P3C_E0050_S42,uefb,64,P3c e=0.05 seed42,default_3seed,42,0.05,17.98563612997532,3.5376596743420468,0.8210719702765346,0.08721542773106802,0.2458486333489418,0.09711065393678942,1.7881882470101118,0.783670286669713,4.223975293338299,7.774687940069771,0.256434665992856,0.10965673544409395,0.21079028048552573,0.09382459419607707,0.13928824721369892,0.12246613808449323,0.39901315315728425,0.3178073141828414,0.43282821914181113,0.12859473368188862,0.0,0.0,0.0,0.0,0.5036326949484646,0.10047291056019896,1.1102790809891303,0.6853722722359027
P3D_E0100_S2027,real,64,P3d e=0.10 seed2027,stronger_shape_control,2027,0.1,19.611012741923332,3.4398404855386557,0.7905752854421735,0.06268771303893493,0.2472576560685411,0.13956503182196742,2.2328561078757048,0.46599380434482224,10.255654133856297,3.080263983640738,0.29778108885511756,0.12124772419536649,0.21831750718411058,0.0843337710423282,0.22236687876284122,0.15533171706106863,0.6984765995293856,0.10582926073517132,0.5734513970091939,0.11411942697799421,9.720052242556676e-05,0.0002748528266747021,0.0,0.0,0.4876843015663326,0.05384353931060445,2.033270314335823,0.5163948473861881
P3D_E0100_S2027,synthetic,64,P3d e=0.10 seed2027,stronger_shape_control,2027,0.1,16.7925306558609,4.134044435704006,0.7378860954195261,0.09151794900532305,0.3816264334018342,0.17906426283584392,1.3019618932157755,0.30237557672492105,6.026711821556091,3.081813101018941,0.5678037211764604,0.30968512377823115,0.4384049696382135,0.28968001353318845,0.44526738952845335,0.2958600562013113,0.874225108884275,0.07454525369807058,0.5480066649615765,0.1025566120490152,0.0006318622253544959,0.002021638936815799,0.0,0.0,0.3685247942339629,0.07900620184823201,1.3205736381933093,0.6608681059618844
P3D_E0100_S2027,uefb,64,P3d e=0.10 seed2027,stronger_shape_control,2027,0.1,18.555408030748367,5.379946101079529,0.8180409912019968,0.09752343851305195,0.24289923350443132,0.11163490327774389,1.7142316522076726,0.7797997748371924,4.793747179210186,5.518427035205435,0.2677555817645043,0.0746375713446129,0.19021092914044857,0.08504762375459736,0.1799377342686057,0.10842321487148426,0.4249658116605133,0.29536357188375684,0.4240531073883176,0.11511529814722794,0.0013273557415232062,0.005269050364011964,0.0,0.0,0.3947625858709216,0.14066970474132098,1.116609068121761,0.6209674524883787
P3D_E0100_S3407,real,64,P3d e=0.10 seed3407,stronger_shape_control,3407,0.1,20.541005790233612,3.053566369470039,0.8060478549450636,0.04719747935563174,0.2091642219456844,0.11914283980536357,2.37460763938725,0.4819274387233348,11.185647182166576,3.6451387623556144,0.4463946463074535,0.25730481497228513,0.2633789557730779,0.12301233188491388,0.41433599404990673,0.28684813579367874,0.6326499129645526,0.10186875599053558,0.5358720133081079,0.1047234128148622,1.8988715765999586e-05,7.181110926237308e-05,0.0,0.0,0.5230794260278344,0.04946474417511261,1.7557871155440807,0.3417059334690302
