variant_id,display,role,dataset,n,reporting_mode,psnr_mean,psnr_std,ssim_mean,ssim_std,lee_mean,lee_std,nai_mean,nai_std,identity_drop_mean,identity_drop_std,q_ece_mean,q_ece_std,over_mean,over_std,under_mean,under_std,E_MAE_mean,E_MAE_std,S_MAE_mean,S_MAE_std,Gauge_MAE_mean,Gauge_MAE_std,S_corr_mean,S_corr_std,E_MAE_aligned_mean,E_MAE_aligned_std,E_corr_mean,E_corr_std,mu_pred_mean,mu_pred_std,mu_gt_mean,mu_gt_std,A_mean_mean,A_mean_std,Q_mean_mean,Q_mean_std,mu_E_mean,mu_E_std
M4,M4 A-gate,counterexample,real,100,field_aware,17.411298198699953,3.8943797416187707,0.6996077278256416,0.12150046437693812,0.5007926805317402,0.2866590865507376,2.2859831964969635,0.40773555886741186,7.69308298587799,2.9756201999498955,0.6254500466585159,0.11637270989387664,4.952777814651199e-05,0.00019767924348042715,2.7777778086601758e-08,1.9542402180639417e-07,0.7470357795059681,0.4293660354477781,0.3865603343397379,0.16020841551393575,0.700357945561409,0.46721607560331174,-0.3314483983023092,0.17305114325298243,0.3865603343397379,0.16020841551393575,-0.3314483983023092,0.17305114325298243,1.6019471710920334,0.30925431830162514,2.2383085286617277,0.6132849135438518,0.4556903102993965,0.08416807000028374,1.0,0.0,1.6019471627473831,0.309254300555389
M4,M4 A-gate,counterexample,synthetic,100,field_aware,13.963236708641052,4.889304865724932,0.6283985561132431,0.16058545824538192,0.6928867691569031,0.3057140367104327,1.1803978103399277,0.25269946406099975,2.7423089647293093,2.3602457849078617,0.5753823679685592,0.1163691710517486,4.02379920524254e-05,0.00022337806146788207,7.233796441141748e-07,2.8895770322203933e-06,1.12565917275846,0.5652181178362626,0.687590009868145,0.3830051746270338,0.9915899434126914,0.5573509908817528,-0.337157696953509,0.34166532904102653,0.687590009868145,0.3830051746270338,-0.337157696953509,0.34166532904102653,0.6270756876841187,0.3737746971281644,1.614859872367233,0.7393430499150567,0.3337174379825592,0.09817627745178077,1.0,0.0,0.6270756956376136,0.37377470687474734
M4,M4 A-gate,counterexample,uefb,500,field_aware,18.653046085357666,4.713749844339322,0.8168541659116745,0.08500686562883147,0.24699045833945274,0.1151061385204753,1.8200020073652268,0.8575167545967718,5.657423176765442,5.6236697227394,0.3943383833616972,0.09935187121263009,2.1464030933202593e-06,2.9587714296615654e-05,3.769938255845773e-05,0.00024016154307451634,0.2917189653292298,0.12152149344636981,0.24699577540904283,0.11522946242012395,0.15635685625113546,0.12480045441752734,-0.1393017480619601,0.24396919686338173,0.24699577540904283,0.11522946242012395,-0.1393017480619601,0.24396919686338173,1.0236261841971428,0.5978685746354019,1.0759196648920188,0.6868951971044438,0.47640852618217466,0.13823417934470159,1.0,0.0,1.0236261891014875,0.5978685794156343
M4J,M4J joint,joint_baseline,real,100,field_aware,19.580696802139283,3.4221927624665995,0.7826520693302155,0.07296504160143853,0.24479635136201977,0.1607958997353398,2.376211973428726,0.5303552083880512,9.862481579780578,4.066248825363315,0.5598338919878006,0.12624745779894755,4.468055615689082e-05,0.00017098821942136902,0.0,0.0,0.5737851367890835,0.34801638906984983,0.34553203113377096,0.15693780420704256,0.5253491616249084,0.38566285977266207,0.5007488341629505,0.15072286629846457,0.34553203113377096,0.15693780420704256,0.5007488341629505,0.15072286629846457,1.782500993013382,0.33625444910090035,2.2383085286617277,0.6132849135438518,0.5168662136793136,0.05865683586839106,1.0,0.0,1.7825009983778,0.33625444407630223
M4J,M4J joint,joint_baseline,synthetic,100,field_aware,16.508465394973754,4.897458246512164,0.7342845976352692,0.11962616966758603,0.39858476016670463,0.2129938101378205,1.2388226354122163,0.2870860367967666,5.287537655830383,2.7844431670473058,0.5702216163277626,0.11209827943154131,5.298755721923953e-05,0.00027838333056887137,0.0,0.0,0.8401398251205683,0.46758848655846513,0.6241092523932457,0.3615931576299398,0.6532651273161173,0.42986615806234046,0.3690364879556,0.41285682531832973,0.6241092523932457,0.3615931576299398,0.3690364879556,0.41285682531832973,0.9719071606546641,0.47324897560053597,1.614859872367233,0.7393430499150567,0.374054059535265,0.09050834635544747,1.0,0.0,0.971907162964344,0.47324897905078517
M4J,M4J joint,joint_baseline,uefb,500,field_aware,18.081791761398314,4.413743601304631,0.8062940106391907,0.08486050546333467,0.25716559107601644,0.12707742507686295,1.7348894783258437,0.7915857388643879,5.086168862342834,5.683748899754892,0.42897561103105547,0.11349611613154675,2.716064532251039e-06,2.9184111398583063e-05,0.00013971964865049812,0.0006960899377487919,0.2784604832082987,0.12170982599982944,0.21527425368502737,0.11364167919545519,0.1760105913579464,0.13659527004903635,0.2817509212537552,0.28336361849187774,0.21527425368502737,0.11364167919545519,0.2817509212537552,0.28336361849187774,1.0253715850412846,0.5582810218740932,1.0759196648920188,0.6868951971044438,0.43177330949902537,0.1320486141564982,1.0,0.0,1.0253715865835547,0.5582810216916066
M4J_ES,M4J_ES seed3407,centered_shape_positive,real,100,field_aware,20.277040662765504,3.2049779753812953,0.7918556445837021,0.06724852932123503,0.22181059673428535,0.13873501437954225,2.326902861595154,0.5203625437368236,10.558825459480286,3.9487552409487017,0.5509941506385804,0.11558538036469226,2.976388921524631e-05,0.00012097157253454181,0.0,0.0,0.5644065717607737,0.34958179566687786,0.3058271846175194,0.15134187218583434,0.5369005244970322,0.3778492972785309,0.6482521766424179,0.09411750716537896,0.3058271846175194,0.15134187218583434,0.6482521766424179,0.09411750716537896,1.7486866825819016,0.31275750399731506,2.2383085286617277,0.6132849135438518,0.5284034395217896,0.057323275496758155,1.0,0.0,1.7486867094039917,0.31275750260925217
M4J_ES,M4J_ES seed3407,centered_shape_positive,synthetic,100,field_aware,17.140526418685912,5.030588765961432,0.7430509057641029,0.11836822659298403,0.38118875357322396,0.20275209988288173,1.2214265888929368,0.2861474654302964,5.919598679542542,3.035025505987293,0.5765399113297462,0.09059425116032882,2.0593714070855638e-05,9.13294907179323e-05,0.0,0.0,0.7858886558935047,0.45134496355700615,0.5171821771748364,0.33429090267364076,0.6989470095932484,0.4301204437076366,0.7991548854112626,0.1158532000366457,0.5171821771748364,0.33429090267364076,0.7991548854112626,0.1158532000366457,0.9284850745275617,0.45022686125988753,1.614859872367233,0.7393430499150567,0.3810148473083973,0.09821001836114945,1.0,0.0,0.9284850930795073,0.4502268641344029
M4J_ES,M4J_ES seed3407,centered_shape_positive,uefb,500,field_aware,17.9811068611145,4.863002738673659,0.8038888010978699,0.08817598532836143,0.2660055019073188,0.13205972197003582,1.664234989643097,0.7425308788603455,4.985483946800232,5.406458190971491,0.41910166205465793,0.10882511097460654,1.8310547557121027e-06,2.651341021875333e-05,4.630533972795092e-05,0.0002489821019269458,0.29185761863738297,0.1355988281629453,0.19979707964509724,0.08280046261885567,0.22219593766331672,0.16153042687896518,0.43985495356749743,0.3218518590367307,0.19979707964509724,0.08280046261885567,0.43985495356749743,0.3218518590367307,0.9708795895427466,0.5254807169594464,1.0759196648920188,0.6868951971044438,0.4253588814735413,0.1563741897712825,1.0,0.0,0.9708795770704747,0.5254807211528587
P3C_E0050_S2027,P3c e=0.05 seed2027,default_3seed,real,100,field_aware,19.914495515823365,2.789929239193581,0.7748457711935043,0.06996032450947896,0.2206816852837801,0.11598404232697297,2.378348013162613,0.5283976643266997,10.196280303001403,3.2764351431303482,0.577765045017004,0.09848972741009088,7.472222295746179e-05,0.0002409057177225711,0.0,0.0,0.3155945397913456,0.12009559450614334,0.23108128152787685,0.09897958146363561,0.22580136179924012,0.15144157708049716,0.7256371754407883,0.08451318153495001,0.23108128152787685,0.09897958146363561,0.7256371754407883,0.08451318153495001,2.188950307369232,0.5557056278034077,2.2383085286617277,0.6132849135438518,0.5257775175571442,0.04776870476630447,1.0,0.0,2.1889502382278443,0.5557056592924939
