index,name,e_mean,e_std,low_mean,low_std,q_mean,stratum
0,test_00000,1.8120661973953247,0.14982859790325165,0.073578841984272,0.046400561928749084,1.0,global_underexposed
1,test_00001,0.03730227053165436,0.003361206268891692,0.32871028780937195,0.15226152539253235,1.0,near_identity
2,test_00002,0.8500699996948242,0.3266752064228058,0.19119061529636383,0.10204620659351349,1.0,global_underexposed
3,test_00003,1.4475711584091187,0.4895094633102417,0.08186562359333038,0.06359510868787766,1.0,global_underexposed
4,test_00004,1.7368385791778564,0.35632696747779846,0.12391388416290283,0.21020984649658203,0.9554352164268494,global_underexposed
5,test_00005,0.9109788537025452,0.2641950249671936,0.1620849072933197,0.10439755022525787,0.9820365905761719,global_underexposed
6,test_00006,1.0615633726119995,0.3361549377441406,0.21307003498077393,0.0967664048075676,1.0,global_underexposed
7,test_00007,0.0771818459033966,0.026725124567747116,0.5530622005462646,0.21456025540828705,1.0,near_identity
8,test_00008,0.651820957660675,0.27261215448379517,0.20626768469810486,0.0786200687289238,1.0,mixed_regular
9,test_00009,1.8752238750457764,0.27366089820861816,0.06946657598018646,0.03814947232604027,1.0,global_underexposed
10,test_00010,1.8201663494110107,0.4829545319080353,0.07347681373357773,0.05289207398891449,1.0,global_underexposed
11,test_00011,1.706462025642395,0.2611880600452423,0.0798989087343216,0.04842594638466835,0.9852660894393921,global_underexposed
12,test_00012,0.16646720468997955,0.04092727601528168,0.4346937835216522,0.12373939901590347,1.0,near_identity
13,test_00013,0.14058449864387512,0.026052044704556465,0.4683474898338318,0.13543128967285156,1.0,near_identity
14,test_00014,0.07606754451990128,0.044648587703704834,0.47283226251602173,0.12037410587072372,1.0,near_identity
15,test_00015,0.07053660601377487,0.013402656652033329,0.36450543999671936,0.1480446308851242,1.0,near_identity
16,test_00016,1.5491271018981934,0.40576303005218506,0.08457336574792862,0.05444232374429703,1.0,global_underexposed
17,test_00017,0.9928179383277893,0.3937951624393463,0.2369311898946762,0.1344524770975113,1.0,global_underexposed
18,test_00018,1.6609046459197998,0.28596851229667664,0.11012166738510132,0.06410235911607742,1.0,global_underexposed
19,test_00019,1.4923920631408691,0.23496362566947937,0.09116486459970474,0.05715170130133629,1.0,global_underexposed
20,test_00020,0.12378667294979095,0.013854601420462132,0.37564817070961,0.19280943274497986,1.0,near_identity
21,test_00021,1.8686151504516602,0.432076096534729,0.07333792746067047,0.037676338106393814,1.0,global_underexposed
22,test_00022,1.631417155265808,0.22799208760261536,0.10251925885677338,0.06036726012825966,0.9441253542900085,global_underexposed
23,test_00023,1.2854671478271484,0.5699387788772583,0.22565440833568573,0.2428598254919052,0.9306236505508423,local_uneven
24,test_00024,0.5819385051727295,0.21434567868709564,0.2764653265476227,0.06523426622152328,1.0,mixed_regular
25,test_00025,0.1445522904396057,0.0575881265103817,0.4127986431121826,0.12421213090419769,1.0,near_identity
26,test_00026,1.1696289777755737,0.2967859208583832,0.21519507467746735,0.19473862648010254,0.9593132734298706,global_underexposed
27,test_00027,0.9522217512130737,0.4423474371433258,0.18936146795749664,0.11326155811548233,1.0,global_underexposed
28,test_00028,2.2877655029296875,0.4106016755104065,0.11770080029964447,0.23353929817676544,0.9465766549110413,global_underexposed
29,test_00029,1.4278910160064697,0.42312052845954895,0.1210625171661377,0.0946836844086647,1.0,global_underexposed
30,test_00030,0.06868141889572144,0.04066510498523712,0.49298301339149475,0.21413299441337585,0.9207924008369446,near_identity
31,test_00031,0.004746596794575453,0.0014949495671316981,0.39765021204948425,0.14445151388645172,1.0,near_identity
32,test_00032,0.1268545240163803,0.02966613508760929,0.1984754502773285,0.11766410619020462,1.0,near_identity
33,test_00033,1.1175713539123535,0.4295737147331238,0.12288592010736465,0.08802831918001175,1.0,global_underexposed
34,test_00034,1.0149683952331543,0.3660397529602051,0.17126166820526123,0.12223858386278152,0.9329582452774048,global_underexposed
35,test_00035,1.0962169170379639,0.4088791608810425,0.1624269038438797,0.07635001093149185,1.0,global_underexposed
36,test_00036,1.9845572710037231,0.2844473123550415,0.08187346160411835,0.02880672551691532,1.0,global_underexposed
37,test_00037,1.6313400268554688,0.4308716356754303,0.09638242423534393,0.0458737351000309,0.9842025637626648,global_underexposed
38,test_00038,1.7305747270584106,0.3268428146839142,0.06185225397348404,0.04309019073843956,1.0,global_underexposed
39,test_00039,2.1751813888549805,0.27213695645332336,0.05634939298033714,0.028050968423485756,0.9413498044013977,global_underexposed
40,test_00040,0.9356008768081665,0.3080677390098572,0.20564672350883484,0.0784662663936615,1.0,global_underexposed
41,test_00041,1.1425577402114868,0.31239673495292664,0.09180352836847305,0.06928706914186478,1.0,global_underexposed
42,test_00042,1.9238840341567993,0.3645467460155487,0.062478162348270416,0.046434830874204636,0.9084060788154602,global_underexposed
43,test_00043,1.8191323280334473,0.4535948634147644,0.08437422662973404,0.04832245036959648,1.0,global_underexposed
44,test_00044,0.05039317533373833,0.032071348279714584,0.6627945899963379,0.17527520656585693,0.9460967779159546,near_identity
45,test_00045,1.96950101852417,0.37013116478919983,0.0554407499730587,0.05190204456448555,1.0,global_underexposed
46,test_00046,1.274754285812378,0.32652929425239563,0.1836351603269577,0.1901015192270279,0.9605064392089844,global_underexposed
47,test_00047,0.8482776880264282,0.3595360815525055,0.22240376472473145,0.1040007546544075,1.0,global_underexposed
48,test_00048,1.6504197120666504,0.3541565537452698,0.07528399676084518,0.05552982538938522,0.9828017950057983,global_underexposed
49,test_00049,2.0768465995788574,0.4285854995250702,0.05829253047704697,0.032467130571603775,1.0,global_underexposed
50,test_00050,1.8929933309555054,0.2588924765586853,0.07855153828859329,0.046504780650138855,0.9220244884490967,global_underexposed
51,test_00051,0.19694170355796814,0.04728461802005768,0.4776019752025604,0.14545555412769318,1.0,near_identity
52,test_00052,1.4925146102905273,0.4500652253627777,0.10448315739631653,0.08454012870788574,1.0,global_underexposed
53,test_00053,0.6094177961349487,0.32874807715415955,0.3168424069881439,0.155912384390831,1.0,mixed_regular
54,test_00054,1.5809437036514282,0.3137933015823364,0.06629818677902222,0.03890692815184593,1.0,global_underexposed
55,test_00055,0.06499680876731873,0.027647482231259346,0.3842011094093323,0.08380444347858429,1.0,near_identity
56,test_00056,1.8142751455307007,0.3640219271183014,0.10149447619915009,0.051168542355298996,1.0,global_underexposed
57,test_00057,2.0366737842559814,0.3052123785018921,0.035130757838487625,0.02822522260248661,1.0,global_underexposed
58,test_00058,0.027616385370492935,0.014530354179441929,0.5165024399757385,0.16663846373558044,1.0,near_identity
59,test_00059,0.023237481713294983,0.012379403226077557,0.42383116483688354,0.1779399812221527,1.0,near_identity
60,test_00060,0.8622593283653259,0.3878175616264343,0.2564140856266022,0.19144470989704132,0.941155195236206,global_underexposed
61,test_00061,0.04949582368135452,0.013310356065630913,0.4906521737575531,0.11563719809055328,1.0,near_identity
62,test_00062,1.7267444133758545,0.2513332664966583,0.11258109658956528,0.1363779455423355,0.9817901849746704,global_underexposed
63,test_00063,0.5890934467315674,0.25344300270080566,0.3729834258556366,0.19979210197925568,0.9550849795341492,mixed_regular
