index,name,perturbation,e_mae,s_mae,gauge_mae,mu_pred,mu_gt,s_corr,stratum,e_mean,e_std,low_mean,q_mean
0,test_00000,identity,0.0,0.0,0.0,1.8120661064767773,1.8120661064767773,0.9999999999999993,global_underexposed,1.8120661973953247,0.14982859790325165,0.073578841984272,1.0
0,test_00000,global_shift_plus_0p5,0.5000000005657057,5.240622658053695e-08,0.5000000005657057,2.312066107042483,1.8120661064767773,0.9999999999998609,global_underexposed,1.8120661973953247,0.14982859790325165,0.073578841984272,1.0
0,test_00000,global_shift_minus_0p5,0.5,0.0,0.5,1.3120661064767773,1.8120661064767773,0.9999999999999993,global_underexposed,1.8120661973953247,0.14982859790325165,0.073578841984272,1.0
0,test_00000,local_shape_distortion,0.20262202267440443,0.20262202267709395,1.7280399333685637e-10,1.8120661066495813,1.8120661064767773,0.29465803683373737,global_underexposed,1.8120661973953247,0.14982859790325165,0.073578841984272,1.0
0,test_00000,mixed_shift_plus_shape,0.500000000854925,0.20262202301840537,0.500000000854925,2.3120661073317024,1.8120661064767773,0.29465803403365126,global_underexposed,1.8120661973953247,0.14982859790325165,0.073578841984272,1.0
1,test_00001,identity,0.0,0.0,0.0,0.03730227253618068,0.03730227253618068,0.9999999999986495,near_identity,0.03730227053165436,0.003361206268891692,0.32871028780937195,1.0
1,test_00001,global_shift_plus_0p5,0.5000000000381988,1.5009059384230028e-08,0.5000000000381988,0.5373022725743795,0.03730227253618068,0.9999999999852978,near_identity,0.03730227053165436,0.003361206268891692,0.32871028780937195,1.0
1,test_00001,global_shift_minus_0p5,0.4999999998990461,7.456029266217357e-09,0.4999999998990461,-0.4626977273628654,0.03730227253618068,0.9999999999952728,near_identity,0.03730227053165436,0.003361206268891692,0.32871028780937195,1.0
1,test_00001,local_shape_distortion,0.20262202251365125,0.2026220225141449,3.171862772433087e-11,0.03730227256789931,0.03730227253618068,-0.1268314495496369,near_identity,0.03730227053165436,0.003361206268891692,0.32871028780937195,1.0
1,test_00001,mixed_shift_plus_shape,0.49999999991041477,0.20262202255499412,0.4999999999095053,0.537302272445686,0.03730227253618068,-0.1268314492739895,near_identity,0.03730227053165436,0.003361206268891692,0.32871028780937195,1.0
2,test_00002,identity,0.0,0.0,0.0,0.8500699440983226,0.8500699440983226,0.9999999999999999,global_underexposed,0.8500699996948242,0.3266752064228058,0.19119061529636383,1.0
2,test_00002,global_shift_plus_0p5,0.49999999983992893,2.3578408558933006e-08,0.49999999983992893,1.3500699439382515,0.8500699440983226,0.9999999999999926,global_underexposed,0.8500699996948242,0.3266752064228058,0.19119061529636383,1.0
2,test_00002,global_shift_minus_0p5,0.5,0.0,0.5,0.3500699440983226,0.8500699440983226,0.9999999999999999,global_underexposed,0.8500699996948242,0.3266752064228058,0.19119061529636383,1.0
2,test_00002,local_shape_distortion,0.20262202243156935,0.20262202243302735,9.367795428261161e-11,0.8500699441920005,0.8500699440983226,0.7821432732168043,global_underexposed,0.8500699996948242,0.3266752064228058,0.19119061529636383,1.0
2,test_00002,mixed_shift_plus_shape,0.4999999999654392,0.20262202296397813,0.4999999999654392,1.3500699440637618,0.8500699440983226,0.7821432730530077,global_underexposed,0.8500699996948242,0.3266752064228058,0.19119061529636383,1.0
3,test_00003,identity,0.0,0.0,0.0,1.44757119269525,1.44757119269525,0.9999999999999998,global_underexposed,1.4475711584091187,0.4895094633102417,0.08186562359333038,1.0
3,test_00003,global_shift_plus_0p5,0.5000000000545697,2.0256836763543618e-08,0.5000000000545697,1.9475711927498196,1.44757119269525,0.9999999999999946,global_underexposed,1.4475711584091187,0.4895094633102417,0.08186562359333038,1.0
3,test_00003,global_shift_minus_0p5,0.5,0.0,0.5,0.9475711926952499,1.44757119269525,0.9999999999999998,global_underexposed,1.4475711584091187,0.4895094633102417,0.08186562359333038,1.0
3,test_00003,local_shape_distortion,0.2026220228418083,0.20262202284576383,2.5414692572667263e-10,1.4475711929493968,1.44757119269525,0.8863957172479396,global_underexposed,1.4475711584091187,0.4895094633102417,0.08186562359333038,1.0
3,test_00003,mixed_shift_plus_shape,0.5000000002223715,0.20262202311597047,0.5000000002223715,1.9475711929176214,1.44757119269525,0.8863957168726546,global_underexposed,1.4475711584091187,0.4895094633102417,0.08186562359333038,1.0
4,test_00004,identity,0.0,0.0,0.0,1.7368385014360683,1.7368385014360683,0.9999999999999998,global_underexposed,1.7368385791778564,0.35632696747779846,0.12391388416290283,0.9554352164268494
4,test_00004,global_shift_plus_0p5,0.5000000000709406,2.6156044996561434e-08,0.5000000000709406,2.236838501507009,1.7368385014360683,0.9999999999999878,global_underexposed,1.7368385791778564,0.35632696747779846,0.12391388416290283,0.9554352164268494
4,test_00004,global_shift_minus_0p5,0.5,0.0,0.5,1.2368385014360683,1.7368385014360683,0.9999999999999998,global_underexposed,1.7368385791778564,0.35632696747779846,0.12391388416290283,0.9554352164268494
4,test_00004,local_shape_distortion,0.2026220226307487,0.2026220226384775,4.965841071680188e-10,1.7368385019326524,1.7368385014360683,0.8231469755665946,global_underexposed,1.7368385791778564,0.35632696747779846,0.12391388416290283,0.9554352164268494
4,test_00004,mixed_shift_plus_shape,0.5000000004729372,0.2026220230386484,0.5000000004729372,2.2368385019090056,1.7368385014360683,0.8231469743914959,global_underexposed,1.7368385791778564,0.35632696747779846,0.12391388416290283,0.9554352164268494
5,test_00005,identity,0.0,0.0,0.0,0.910978808800337,0.910978808800337,0.9999999999999998,global_underexposed,0.9109788537025452,0.2641950249671936,0.1620849072933197,0.9820365905761719
5,test_00005,global_shift_plus_0p5,0.5000000000322871,1.8638105905854907e-08,0.5000000000322871,1.410978808832624,0.910978808800337,0.9999999999999915,global_underexposed,0.9109788537025452,0.2641950249671936,0.1620849072933197,0.9820365905761719
5,test_00005,global_shift_minus_0p5,0.5,0.0,0.5,0.410978808800337,0.910978808800337,0.9999999999999998,global_underexposed,0.9109788537025452,0.2641950249671936,0.1620849072933197,0.9820365905761719
5,test_00005,local_shape_distortion,0.20262202249955408,0.2026220225002654,4.5702108764089644e-11,0.9109788088460391,0.910978808800337,0.7080882197516919,global_underexposed,0.9109788537025452,0.2641950249671936,0.1620849072933197,0.9820365905761719
5,test_00005,mixed_shift_plus_shape,0.5000000001268745,0.20262202325381945,0.5000000001250555,1.4109788089253925,0.910978808800337,0.708088219991961,global_underexposed,0.9109788537025452,0.2641950249671936,0.1620849072933197,0.9820365905761719
