variant_id,dataset,n,display,role,seed,e_shape,psnr,psnr_std,ssim,ssim_std,lee,lee_std,nai,nai_std,identity_drop,identity_drop_std,E_MAE,E_MAE_std,S_MAE,S_MAE_std,Gauge_MAE,Gauge_MAE_std,S_corr,S_corr_std,q_ece,q_ece_std,over,over_std,under,under_std,A_mean,A_mean_std,mu_E,mu_E_std
M4,real,100,M4 A-gate,counterexample,3407,,17.411298198699953,3.894379741618771,0.6996077278256416,0.12150046437693815,0.5007926805317402,0.2866590865507376,2.2859831964969635,0.4077355588674119,7.69308298587799,2.975620199949895,0.7470357795059681,0.4293660354477781,0.3865603343397379,0.16020841551393572,0.700357945561409,0.46721607560331174,-0.3314483983023092,0.17305114325298243,0.6254500466585159,0.11637270989387664,4.952777814651199e-05,0.00019767924348042728,2.7777778086601758e-08,1.9542402180639412e-07,0.4556903102993965,0.08416807000028374,1.6019471627473831,0.309254300555389
M4,synthetic,100,M4 A-gate,counterexample,3407,,13.963236708641052,4.889304865724932,0.6283985561132431,0.1605854582453819,0.6928867691569031,0.30571403671043273,1.1803978103399277,0.2526994640609998,2.7423089647293093,2.360245784907862,1.12565917275846,0.5652181178362629,0.687590009868145,0.38300517462703393,0.9915899434126914,0.5573509908817527,-0.337157696953509,0.34166532904102653,0.5753823679685592,0.1163691710517486,4.02379920524254e-05,0.00022337806146788193,7.233796441141748e-07,2.889577032220391e-06,0.3337174379825592,0.09817627745178077,0.6270756956376136,0.37377470687474734
M4,uefb,500,M4 A-gate,counterexample,3407,,18.653046085357666,4.713749844339323,0.8168541659116745,0.08500686562883142,0.24699045833945274,0.11510613852047526,1.8200020073652268,0.8575167545967717,5.657423176765442,5.623669722739399,0.2917189653292298,0.12152149344636985,0.24699577540904283,0.1152294624201239,0.15635685625113546,0.1248004544175273,-0.1393017480619601,0.2439691968633817,0.3943383833616972,0.09935187121263005,2.1464030933202593e-06,2.9587714296615562e-05,3.769938255845773e-05,0.00024016154307451601,0.47640852618217466,0.13823417934470164,1.0236261891014875,0.5978685794156341
M4J,real,100,M4J joint,joint_baseline,3407,,19.580696802139283,3.4221927624665986,0.7826520693302155,0.07296504160143853,0.24479635136201977,0.16079589973533978,2.376211973428726,0.5303552083880512,9.862481579780578,4.066248825363315,0.5737851367890835,0.34801638906984983,0.34553203113377096,0.15693780420704256,0.5253491616249084,0.385662859772662,0.5007488341629505,0.15072286629846457,0.5598338919878006,0.12624745779894758,4.468055615689082e-05,0.00017098821942136864,0.0,0.0,0.5168662136793136,0.058656835868391065,1.7825009983778,0.3362544440763022
M4J,synthetic,100,M4J joint,joint_baseline,3407,,16.508465394973754,4.897458246512165,0.7342845976352692,0.11962616966758603,0.39858476016670463,0.21299381013782048,1.2388226354122163,0.2870860367967666,5.287537655830383,2.7844431670473058,0.8401398251205683,0.4675884865584652,0.6241092523932457,0.3615931576299398,0.6532651273161173,0.4298661580623405,0.3690364879556,0.41285682531832973,0.5702216163277626,0.11209827943154131,5.298755721923953e-05,0.0002783833305688712,0.0,0.0,0.374054059535265,0.09050834635544748,0.971907162964344,0.47324897905078517
M4J,uefb,500,M4J joint,joint_baseline,3407,,18.081791761398314,4.41374360130463,0.8062940106391907,0.08486050546333465,0.25716559107601644,0.12707742507686295,1.7348894783258437,0.7915857388643878,5.086168862342834,5.683748899754894,0.2784604832082987,0.12170982599982944,0.21527425368502737,0.11364167919545522,0.1760105913579464,0.13659527004903635,0.2817509212537552,0.2833636184918778,0.42897561103105547,0.11349611613154678,2.716064532251039e-06,2.9184111398583043e-05,0.00013971964865049812,0.0006960899377487925,0.43177330949902537,0.13204861415649818,1.0253715865835547,0.5582810216916066
M4J_ES,real,100,M4J_ES seed3407,centered_shape_positive,3407,0.05,20.277040662765504,3.2049779753812953,0.7918556445837021,0.06724852932123504,0.22181059673428535,0.13873501437954225,2.326902861595154,0.5203625437368237,10.558825459480286,3.9487552409487012,0.5644065717607737,0.34958179566687786,0.3058271846175194,0.15134187218583434,0.5369005244970322,0.3778492972785309,0.6482521766424179,0.09411750716537895,0.5509941506385804,0.11558538036469226,2.976388921524631e-05,0.00012097157253454171,0.0,0.0,0.5284034395217896,0.057323275496758155,1.7486867094039917,0.31275750260925217
M4J_ES,synthetic,100,M4J_ES seed3407,centered_shape_positive,3407,0.05,17.140526418685912,5.030588765961432,0.7430509057641029,0.11836822659298402,0.38118875357322396,0.2027520998828817,1.2214265888929368,0.2861474654302964,5.919598679542542,3.035025505987293,0.7858886558935047,0.4513449635570061,0.5171821771748364,0.3342909026736407,0.6989470095932484,0.4301204437076367,0.7991548854112626,0.11585320003664569,0.5765399113297462,0.09059425116032893,2.0593714070855638e-05,9.132949071793228e-05,0.0,0.0,0.3810148473083973,0.09821001836114945,0.9284850930795073,0.45022686413440294
M4J_ES,uefb,500,M4J_ES seed3407,centered_shape_positive,3407,0.05,17.9811068611145,4.863002738673659,0.8038888010978699,0.08817598532836145,0.2660055019073188,0.13205972197003576,1.664234989643097,0.7425308788603455,4.985483946800232,5.40645819097149,0.29185761863738297,0.13559882816294538,0.19979707964509724,0.08280046261885564,0.22219593766331672,0.16153042687896527,0.43985495356749743,0.32185185903673075,0.41910166205465793,0.10882511097460651,1.8310547557121027e-06,2.651341021875346e-05,4.630533972795092e-05,0.00024898210192694526,0.4253588814735413,0.1563741897712825,0.9708795770704747,0.5254807211528588
P3C_E0050_S2027,real,100,P3c e=0.05 seed2027,default_3seed,2027,0.05,19.914495515823365,2.7899292391935804,0.7748457711935043,0.06996032450947896,0.2206816852837801,0.11598404232697299,2.378348013162613,0.5283976643266995,10.196280303001403,3.2764351431303482,0.3155945397913456,0.12009559450614336,0.23108128152787685,0.09897958146363564,0.22580136179924012,0.15144157708049713,0.7256371754407883,0.08451318153495001,0.577765045017004,0.09848972741009086,7.472222295746179e-05,0.00024090571772257167,0.0,0.0,0.5257775175571442,0.047768704766304466,2.1889502382278443,0.5557056592924939
P3C_E0050_S2027,synthetic,100,P3c e=0.05 seed2027,default_3seed,2027,0.05,17.379152660369872,4.772882073365788,0.745288900732994,0.1047449871454733,0.35739351715892553,0.19104588451035215,1.3167890751361846,0.2938031769178516,6.158224921226502,3.3594406808100374,0.606749193109572,0.34680465195499394,0.4387470358423889,0.2849049072314938,0.5188415964785963,0.3501219455532762,0.8550764727592468,0.0904458911004432,0.5287033894658089,0.09605946931940618,0.0004165310306916581,0.0011743192844762627,2.3509837410529144e-06,1.5392085212763008e-05,0.3939267777279019,0.11429383990681831,1.136839727172628,0.6853797029070594
P3C_E0050_S2027,uefb,500,P3c e=0.05 seed2027,default_3seed,2027,0.05,18.14979832649231,5.080980702133544,0.8094445511102676,0.08512596003155444,0.25701115001924335,0.13022838546178797,1.7420671910047532,0.7842803200554208,5.154175417900086,5.384840519877817,0.26154334148019553,0.13127206079659356,0.19680385702848435,0.09111231697165122,0.17784977812692523,0.1483802451930623,0.43456830429937693,0.32226322266656926,0.4025779501050711,0.09971778896986919,0.0008930359148689604,0.0038478671114965247,4.570516076455533e-05,0.00019269678790328026,0.42348666340112684,0.16638402126646412,1.044100473765284,0.6572612231197197
P3C_E0050_S3407,real,100,P3c e=0.05 seed3407,default_3seed,3407,0.05,20.277040662765504,3.2049779753812953,0.7918556445837021,0.06724852932123504,0.22181059673428535,0.13873501437954225,2.326902861595154,0.5203625437368237,10.558825459480286,3.9487552409487012,0.5644065717607737,0.34958179566687786,0.3058271846175194,0.15134187218583434,0.5369005244970322,0.3778492972785309,0.6482521766424179,0.09411750716537895,0.5509941506385804,0.11558538036469226,2.976388921524631e-05,0.00012097157253454171,0.0,0.0,0.5284034395217896,0.057323275496758155,1.7486867094039917,0.31275750260925217
P3C_E0050_S3407,synthetic,100,P3c e=0.05 seed3407,default_3seed,3407,0.05,17.140526418685912,5.030588765961432,0.7430509057641029,0.11836822659298402,0.38118875357322396,0.2027520998828817,1.2214265888929368,0.2861474654302964,5.919598679542542,3.035025505987293,0.7858886558935047,0.4513449635570061,0.5171821771748364,0.3342909026736407,0.6989470095932484,0.4301204437076367,0.7991548854112626,0.11585320003664569,0.5765399113297462,0.09059425116032893,2.0593714070855638e-05,9.132949071793228e-05,0.0,0.0,0.3810148473083973,0.09821001836114945,0.9284850930795073,0.45022686413440294
