method,role,source_variant_ids,uefb_psnr,uefb_psnr_std_across_rows,uefb_n_rows,uefb_ssim,uefb_ssim_std_across_rows,uefb_S_corr,uefb_S_corr_std_across_rows,uefb_Gauge_MAE,uefb_Gauge_MAE_std_across_rows,uefb_identity_drop,uefb_identity_drop_std_across_rows,uefb_q_ece,uefb_q_ece_std_across_rows,uefb_over,uefb_over_std_across_rows,uefb_under,uefb_under_std_across_rows,real_psnr,real_psnr_std_across_rows,real_n_rows,real_ssim,real_ssim_std_across_rows,real_S_corr,real_S_corr_std_across_rows,real_Gauge_MAE,real_Gauge_MAE_std_across_rows,real_identity_drop,real_identity_drop_std_across_rows,real_q_ece,real_q_ece_std_across_rows,real_over,real_over_std_across_rows,real_under,real_under_std_across_rows,synthetic_psnr,synthetic_psnr_std_across_rows,synthetic_n_rows,synthetic_ssim,synthetic_ssim_std_across_rows,synthetic_S_corr,synthetic_S_corr_std_across_rows,synthetic_Gauge_MAE,synthetic_Gauge_MAE_std_across_rows,synthetic_identity_drop,synthetic_identity_drop_std_across_rows,synthetic_q_ece,synthetic_q_ece_std_across_rows,synthetic_over,synthetic_over_std_across_rows,synthetic_under,synthetic_under_std_across_rows
M4 A-gate,PSNR-high counterexample,M4,18.653046085357666,0.0,1,0.8168541659116745,0.0,-0.1393017480619601,0.0,0.15635685625113546,0.0,5.657423176765442,0.0,0.3943383833616972,0.0,2.1464030933202593e-06,0.0,3.769938255845773e-05,0.0,17.411298198699953,0.0,1,0.6996077278256416,0.0,-0.3314483983023092,0.0,0.700357945561409,0.0,7.69308298587799,0.0,0.6254500466585159,0.0,4.952777814651199e-05,0.0,2.7777778086601758e-08,0.0,13.963236708641052,0.0,1,0.6283985561132431,0.0,-0.337157696953509,0.0,0.9915899434126914,0.0,2.7423089647293093,0.0,0.5753823679685592,0.0,4.02379920524254e-05,0.0,7.233796441141748e-07,0.0
M4J joint,joint baseline,M4J,18.081791761398314,0.0,1,0.8062940106391907,0.0,0.2817509212537552,0.0,0.1760105913579464,0.0,5.086168862342834,0.0,0.42897561103105547,0.0,2.716064532251039e-06,0.0,0.00013971964865049812,0.0,19.580696802139283,0.0,1,0.7826520693302155,0.0,0.5007488341629505,0.0,0.5253491616249084,0.0,9.862481579780578,0.0,0.5598338919878006,0.0,4.468055615689082e-05,0.0,0.0,0.0,16.508465394973754,0.0,1,0.7342845976352692,0.0,0.3690364879556,0.0,0.6532651273161173,0.0,5.287537655830383,0.0,0.5702216163277626,0.0,5.298755721923953e-05,0.0,0.0,0.0
M4J_ES seed3407,centered E-shape positive,M4J_ES,17.9811068611145,0.0,1,0.8038888010978699,0.0,0.43985495356749743,0.0,0.22219593766331672,0.0,4.985483946800232,0.0,0.41910166205465793,0.0,1.8310547557121027e-06,0.0,4.630533972795092e-05,0.0,20.277040662765504,0.0,1,0.7918556445837021,0.0,0.6482521766424179,0.0,0.5369005244970322,0.0,10.558825459480286,0.0,0.5509941506385804,0.0,2.976388921524631e-05,0.0,0.0,0.0,17.140526418685912,0.0,1,0.7430509057641029,0.0,0.7991548854112626,0.0,0.6989470095932484,0.0,5.919598679542542,0.0,0.5765399113297462,0.0,2.0593714070855638e-05,0.0,0.0,0.0
P3c e=0.05 3-seed,default 3-seed,"P3C_E0050_S42,P3C_E0050_S2027,P3C_E0050_S3407",17.914535294214886,0.27466761106490634,3,0.8071180202563605,0.0028857796488103355,0.43613695026732363,0.0032329503286052308,0.1921171880600353,0.026060397407386596,4.918912384668986,0.2746676087994748,0.41506454993287717,0.011036468910794616,0.0002989264681743104,0.0005145138750748606,3.074137451312708e-05,2.643951135868377e-05,20.02060646692912,0.2231760612668466,3,0.7818455255031586,0.008895542154809777,0.7074678054451943,0.05254242125469279,0.32814737379550935,0.18079693480088685,10.302391257286073,0.22317606674581014,0.5591710243125756,0.016141806300579344,3.797685221343273e-05,3.3404889792519505e-05,0.0,0.0,17.678273655573527,0.7345045603791227,3,0.753620841105779,0.016407706558623402,0.84072034517924,0.03656592404775315,0.5062795551586897,0.19924570109295708,6.457345916430156,0.7345045603791207,0.5506993107000987,0.024148900093990955,0.0001666937923315951,0.00021739972047434854,7.836612470176381e-07,1.3573410957573334e-06
P3d e=0.10 3-seed,stronger shape control,"P3D_E0100_S42,P3D_E0100_S2027,P3D_E0100_S3407",18.11077340443929,0.20102504775733682,3,0.8079429037173589,0.004164638938153763,0.44905734440192946,0.006957944461892398,0.1906741468741869,0.008764580461696135,5.115150500297546,0.20102505078415162,0.4128087844898303,0.0028364420489808647,0.0005743374453750221,0.0009933017040293294,3.0076769535298807e-06,3.946839698232503e-06,19.874948298136392,0.4269259104352522,3,0.7776185951630273,0.009084183569443188,0.685581446091334,0.05034659560393317,0.32976837635040285,0.13697207355713137,10.15673308690389,0.4269259114613436,0.5503740893801053,0.02255667592836521,2.8342593119911425e-05,3.195278122622329e-05,0.0,0.0,17.626265999476114,0.5173760122251075,3,0.7548471452792486,0.012497662268400525,0.8346529085437456,0.032079809287534414,0.4265276227643093,0.0887659167998656,6.405338253974914,0.517376007728765,0.5533473451932271,0.028098065806281016,0.0002628882175107113,0.0004062156872490218,1.507040906290058e-08,2.6102714187790272e-08
KinD++,external black-box output-only,p4_official_baselines,,,,,,,,,,,,,,,,,,22.210949687957765,,,0.8410520964860916,,N/A,,N/A,,12.492734813690186,,,,,,,,19.259352045059202,,,0.8047349369525909,,N/A,,N/A,,8.038424649238586,,,,,,,
Retinexformer,external black-box output-only,p4_official_baselines,,,,,,,,,,,,,,,,,,22.79388285636902,,,0.8420706051588058,,N/A,,N/A,,13.075667996406555,,,,,,,,25.668988761901854,,,0.9285000318288803,,N/A,,N/A,,14.448061246871948,,,,,,,
Zero-DCE++,external black-box output-only,p4_official_baselines,,,,,,,,,,,,,,,,,,18.490733785629274,,,0.5930840206146241,,N/A,,N/A,,8.777532343864442,,,,,,,,17.57644090652466,,,0.8105815333127976,,N/A,,N/A,,6.355513505935669,,,,,,,
